,ru,fr,en,vote
8250,сильно пить,boire,drink,2
8251,распить,boire,no_equality,2
8252,утолять жажду,boire,no_equality,2
8253,утолять жажду,désaltérer,quench,1
8254,утолять жажду,étancher la soif,no_equality,1
8255,утолять жажду,apaiser la soif,thirst,1
8256,утолять жажду,apaiser la soif,thirsty,1
8257,утолять жажду,apaiser la soif,desire,1
8258,утолять жажду,se désaltérer,no_equality,1
8259,впитать,boire,no_equality,1
8260,впитать,absorber,absorb,1
8261,впитать,absorber,soak up,1
8262,впитать,s'imprégner de,internalize,1
8263,впитать,s'imprégner de,soak up,1
8264,хлебать,boire,no_equality,2
8265,хлебать,lamper,no_equality,1
8266,хлебать,manger,no_equality,1
8267,пропускать,boire,no_equality,1
8268,пропускать,rater,miss,1
8269,пропускать,ignorer,skip,1
8270,пропускать,ignorer,overlook,1
8271,пропускать,ignorer,leave out,1
8272,пропускать,sauter,miss,1
8273,пропускать,sauter,skip,1
8274,пропускать,manquer,miss,1
8275,пропускать,manquer,skip,1
8276,пропускать,passer,pass,1
8277,пропускать,laisser passer,miss,1
8278,пропускать,laisser passer,pass,1
8279,пропускать,laisser passer,overlook,1
8280,пропускать,laisser,no_equality,1
8281,пропускать,couler,no_equality,1
8282,пропускать,filtrer,no_equality,1
8283,пропускать,circuler,pass,1
8284,пропускать,supprimer,omit,1
8285,пропускать,contourner,no_equality,1
8286,пропускать,transiter,no_equality,1
8287,пропускать,pousser,no_equality,1
8288,пропускать,brûler,no_equality,1
8289,питие,boire,no_equality,2
8290,питие,boisson,no_equality,1
8291,исторический,histoire,history,1
8292,исторический,historique,historic,1
8293,исторический,historique,no_equality,2
8294,рассказ,histoire,story,1
8295,рассказ,nouvelle,novel,2
8296,рассказ,nouvelle,story,2
8297,рассказ,nouvelle,short story,2
8298,рассказ,récit,story,1
8299,рассказ,récit,tale,1
8300,рассказ,récit,account,1
8301,рассказ,récit,narrative,1
8302,рассказ,récit,telling,1
8303,рассказ,récit,testimony,1
8304,рассказ,récit,description,1
8305,рассказ,récit,history,1
8306,рассказ,récit,storytelling,1
8307,рассказ,récit,narration,1
8308,рассказ,témoignage,story,1
8309,рассказ,témoignage,account,1
8310,рассказ,témoignage,testimony,1
8311,рассказ,discours,narrative,1
8312,рассказ,reportage,story,1
8313,рассказ,reportage,essay,1
8314,рассказ,relation,no_equality,1
8315,сказка,histoire,story,2
8316,сказка,histoire,fable,1
8317,сказка,rêve,dream,2
8318,сказка,conte,story,1
8319,сказка,conte,fairytale,1
8320,сказка,conte,fable,1
8321,сказка,conte,fantasy,1
8322,сказка,conte,fairy-tale,1
8323,сказка,liste,no_equality,1
8324,дело,histoire,story,1
8325,дело,dossier,file,1
8326,дело,question,point,1
8327,дело,problème,problem,1
8328,дело,danse,show,1
8329,дело,danse,doing,1
8330,дело,fait,point,1
8331,дело,fait,fact,4
8332,дело,fait,doing,2
8333,дело,fait,feat,2
8334,дело,affaire,case,1
8335,дело,affaire,business,1
8336,дело,affaire,thing,1
8337,дело,affaire,matter,1
8338,дело,affaire,deal,1
8339,дело,affaire,dealing,1
8340,дело,affaire,job,1
8341,дело,affaire,affair,1
8342,дело,affaire,undertaking,1
8343,дело,œuvre,work,1
8344,дело,cas,case,1
8345,дело,cas,matter,1
8346,дело,chose,thing,1
8347,дело,chose,matter,1
8348,дело,chose,deal,1
8349,дело,procès,case,1
8350,дело,procédure,case,1
8351,дело,acte,deed,1
8352,дело,acte,doing,1
8353,дело,acte,act,1
8354,дело,art,no_equality,1
8355,дело,oeuvre,work,1
8356,дело,maison,no_equality,1
8357,дело,avouer,no_equality,1
8358,статья,histoire,story,1
8359,статья,article,article,1
8360,статья,article,art,1
8361,статья,article,section,1
8362,статья,article,story,1
8363,статья,article,s,1
8364,статья,article,item,1
8365,статья,article,clause,1
8366,статья,article,paper,1
8367,статья,article,piece,1
8368,статья,Art.,no_equality,1
8369,статья,ligne,line,1
8370,статья,élément,item,1
8371,статья,élément,piece,1
8372,статья,élément,feature,1
8373,статья,chef,no_equality,1
8374,статья,copie,paper,1
8375,сюжет,histoire,story,1
8376,сюжет,scène,no_equality,1
8377,сюжет,sujet,subject,1
8378,сюжет,récit,story,1
8379,сюжет,récit,episode,1
8380,сюжет,récit,narrative,1
8381,сюжет,récit,storyline,1
8382,сюжет,objet,subject,1
8383,версия,histoire,story,1
8384,версия,édition,edition,2
8385,версия,édition,version,2
8386,версия,édition,release,2
8387,версия,version,version,1
8388,версия,version,story,1
8389,версия,version,release,1
8390,версия,version,edition,1
8391,версия,révision,no_equality,1
8392,версия,hypothèse,theory,1
8393,версия,hypothèse,hypothesis,1
8394,роман,histoire,story,1
8395,роман,roman,novel,1
8396,роман,roman,story,1
8397,роман,roman,book,1
8398,роман,roman,roman,1
8399,роман,roman,fiction,1
8400,роман,romance,romance,1
8401,легенда,histoire,story,1
8402,легенда,légende,legend,1
8403,легенда,légende,story,1
8404,легенда,légende,myth,1
8405,легенда,légende,key,1
8406,легенда,légende,legendary,1
8407,легенда,récit,story,1
8408,приключение,histoire,no_equality,1
8409,приключение,aventure,adventure,3
8410,приключение,aventure,experience,2
8411,приключение,aventure,journey,2
8412,приключение,aventure,caper,2
8413,приключение,incident,no_equality,1
8414,предание,histoire,no_equality,2
8415,предание,légende,legend,1
8416,сложность,histoire,no_equality,2
8417,сложность,complexité,complexity,1
8418,сложность,complexité,difficulty,1
8419,сложность,complexité,complex,1
8420,сложность,complexité,complication,1
8421,сложность,complexité,difficult,1
8422,сложность,complexité,complicated,1
8423,сложность,complexité,sophistication,1
8424,сложность,involution,no_equality,1
8425,неприятность,histoire,no_equality,2
8426,неприятность,problème,problem,1
8427,неприятность,tasse,no_equality,1
8428,неприятность,ennui,trouble,1
8429,неприятность,ennui,nuisance,1
8430,неприятность,trouble,no_equality,1
8431,неприятность,désagrément,trouble,1
8432,неприятность,désagrément,nuisance,1
8433,неприятность,désagrément,unpleasantness,1
8434,неприятность,mal,trouble,1
8435,неприятность,contrariété,no_equality,1
8436,неприятность,embêtement,trouble,1
8437,неприятность,embêtement,nuisance,1
8438,неприятность,embêtement,hassle,1
8439,неприятность,chagrin,no_equality,1
8440,неприятность,affaire,no_equality,1
8441,неприятность,embrouille,trouble,1
8442,неприятность,embrouille,mess,1
8443,неприятность,coup dur,bummer,1
8444,неприятность,empoisonnement,no_equality,1
8445,неприятность,pilule,no_equality,1
8446,неприятность,patate,no_equality,1
8447,предыстория,historique,history,1
8448,предыстория,historique,no_equality,1
8449,предыстория,préhistoire,prehistory,1
8450,предыстория,genèse,background,1
8451,справочная информация,historique,background,1
8452,история вопроса,historique,background,1
8453,общие сведения,historique,background,1
8454,общие сведения,généralités,general information,1
8455,общие сведения,généralités,background,1
8456,общие сведения,généralités,overview,1
8457,историческая справка,historique,no_equality,2
8458,историческая справка,rappel historique,historical background,1
8459,историческая справка,rappel historique,historical overview,1
8460,историзм,historique,no_equality,2
8461,историзм,historisme,no_equality,1
8462,историзм,méthode historique,no_equality,1
8463,история болезни,historique,no_equality,2
8464,история болезни,dossier médical,no_equality,1
8465,история болезни,dossier clinique,no_equality,1
8466,история болезни,anamnèse,no_equality,1
8467,статистика,historique,no_equality,1
8468,статистика,statistique,statistic,1
8469,статистика,statistique,data,1
8470,статистика,statistique,stat,1
8471,статистика,statistique,statistically,1
8472,статистика,statistiques,statistic,1
8473,статистика,statistiques,data,1
8474,статистика,statistiques,stats,1
8475,статистика,statistiques,figures,1
8476,статистика,statistiques,statistical,1
8477,статистика,statistiques,statistically,1
8478,статистика,estimateur,no_equality,1
8479,обзор,historique,no_equality,1
8480,обзор,examen,review,3
8481,обзор,examen,reviewing,2
8482,обзор,étude,review,1
8483,обзор,étude,survey,1
8484,обзор,aperçu,review,1
8485,обзор,aperçu,overview,1
8486,обзор,aperçu,survey,1
8487,обзор,aperçu,view,1
8488,обзор,aperçu,summary,1
8489,обзор,aperçu,outline,1
8490,обзор,vues,view,1
8491,обзор,rapport,no_equality,1
8492,обзор,état,no_equality,1
8493,обзор,tour d'horizon,review,1
8494,обзор,tour d'horizon,overview,1
8495,обзор,survol,overview,1
8496,обзор,survol,survey,1
8497,обзор,survol,summary,1
8498,обзор,observation,no_equality,1
8499,повествование,historique,no_equality,2
8500,повествование,narration,narrative,1
8501,повествование,narration,storytelling,1
8502,повествование,narration,narration,1
8503,повествование,narration,narrating,1
8504,куча,pile,stack,2
8505,куча,beaucoup,lot,1
8506,куча,troupe,lot,2
8507,куча,tas,lot,1
8508,куча,tas,lots of,1
8509,куча,tas,heap,1
8510,куча,tas,stack,1
8511,куча,tas,oodles,1
8512,куча,amas,heap,1
8513,куча,foule,lot,1
8514,куча,foule,crowd,1
8515,куча,javelle,no_equality,1
8516,куча,jonchée,no_equality,1
8517,куча,tout plein,no_equality,1
8518,куча,pétée,no_equality,1
8519,куча,entassement,heap,1
8520,куча,tapée,no_equality,1
8521,куча,des bottes de,no_equality,1
8522,куча,paperasserie,no_equality,1
8523,куча,avalanche,no_equality,1
8524,куча,des masses,no_equality,1
8525,стопка,pile,stack,1
8526,стопка,pile,pile,2
8527,стопка,paquet,no_equality,1
8528,стопка,petit verre,no_equality,1
8529,батарейка,pile,battery,3
8530,батарейка,pile sèche,battery,1
8531,свая,pile,pile,2
8532,свая,pile,pier,2
8533,свая,pilotis,pile,1
8534,свая,pilotis,stilt,1
8535,свая,pilier,pile,1
8536,свая,pilier,pier,1
8537,решка,pile,no_equality,2
8538,решка,queue,tail,1
8539,элемент,pile,no_equality,2
8540,элемент,entrée,entry,1
8541,элемент,membre,member,2
8542,элемент,membre,part,2
8543,элемент,membre,element,2
8544,элемент,élément,member,3
8545,элемент,élément,element,3
8546,элемент,élément,component,3
8547,элемент,élément,part,2
8548,элемент,élément,item,2
8549,элемент,élément,feature,2
8550,элемент,élément,piece,2
8551,элемент,élément,cell,2
8552,элемент,élément,aspect,2
8553,элемент,élément,ingredient,2
8554,элемент,élément,entry,2
8555,элемент,sous-élément,no_equality,1
8556,элемент,pièce,element,1
8557,элемент,pièce,component,1
8558,элемент,pièce,item,1
8559,элемент,pièce,piece,1
8560,элемент,pièce,part,1
8561,элемент,pièce,member,1
8562,элемент,entité,feature,1
8563,элемент,trait,feature,1
8564,элемент,pavé,no_equality,1
8565,элемент,accroche,no_equality,1
8566,элемент,tache,no_equality,1
8567,фотоэлемент,pile,no_equality,1
8568,фотоэлемент,cellule photoélectrique,photocell,1
8569,фотоэлемент,photocellule,photocell,1
8570,фотоэлемент,cellule photo-électrique,photocell,1
8571,фотоэлемент,photoélément,no_equality,1
8572,фотоэлемент,cellule photosensible,photocell,1
8573,гальванический элемент,pile,no_equality,2
8574,гальванический элемент,élément galvanique,galvanic cell,1
8575,гальванический элемент,pile galvanique,galvanic cell,1
8576,гальванический элемент,cellule galvanique,galvanic cell,1
8577,гальванический элемент,pile voltaïque,no_equality,1
8578,гальванический элемент,cellule électrochimique,no_equality,1
8579,гальванический элемент,pile électrique,electric cell,1
8580,поленница,pile,no_equality,2
8581,опора,pile,no_equality,1
8582,опора,assiette,no_equality,1
8583,опора,support,support,1
8584,опора,support,crutch,1
8585,опора,support,bearing,1
8586,опора,palier,bearing,1
8587,опора,pilier,pillar,1
8588,опора,pilier,mainstay,1
8589,опора,bras,leg,1
8590,опора,étai,no_equality,1
8591,опора,pied de support,no_equality,1
8592,опора,appareil d'appui,no_equality,1
8593,опора,selle,no_equality,1
8594,стопа,pile,no_equality,2
8595,стопа,pied,foot,1
8596,стопа,rame,no_equality,1
8597,чан,pile,no_equality,2
8598,чан,cuve,vat,1
8599,чан,chang,chan,1
8600,чан,chang,chang,1
8601,чан,tonneau,vat,1
8602,чан,baquet,no_equality,1
8603,чан,cuvier,no_equality,1
8604,чан,chaudron,no_equality,1
8605,чан,bain,no_equality,1
8606,чан,panier,no_equality,1
8607,решетка,pile,no_equality,2
8608,решетка,grille,lattice,1
8609,решетка,grille,grid,1
8610,решетка,grille,grate,1
8611,решетка,grille,grating,1
8612,решетка,grille,grille,1
8613,решетка,grille,rack,1
8614,решетка,barreau,no_equality,1
8615,решетка,barreaux,no_equality,1
8616,решетка,grill,no_equality,1
8617,решетка,barres,no_equality,1
8618,решетка,clôture,no_equality,1
8619,решетка,barrière,no_equality,1
8620,решетка,G.,no_equality,1
8621,столб,pile,no_equality,1
8622,столб,poteau,pole,1
8623,столб,poteau,post,1
8624,столб,poteau,pillar,1
8625,столб,poteau,column,1
8626,столб,milliaire,no_equality,1
8627,столб,pieu,pole,1
8628,столб,pieu,post,1
8629,столб,jambe,no_equality,1
8630,столб,cordon,no_equality,1
8631,ровно,pile,exactly,2
8632,ровно,pile,flat,2
8633,ровно,sec,no_equality,2
8634,ровно,juste,exactly,2
8635,ровно,exactement,precisely,3
8636,ровно,exactement,exactly,4
8637,ровно,exactement,promptly,2
8638,ровно,uniformément,evenly,1
8639,ровно,absolument,no_equality,1
8640,ровно,régulièrement,evenly,1
8641,ровно,rond,no_equality,1
8642,ровно,tapant,no_equality,1
8643,ровно,tout droit,no_equality,1
8644,резко,pile,sharp,1
8645,резко,nettement,significantly,3
8646,резко,nettement,considerably,1
8647,резко,nettement,markedly,2
8648,резко,nettement,sharply,2
8649,резко,nettement,greatly,2
8650,резко,nettement,strongly,2
8651,резко,nettement,dramatically,2
8652,резко,brusque,no_equality,1
8653,резко,brutale,no_equality,1
8654,резко,rude,no_equality,1
8655,резко,cru,no_equality,1
8656,резко,rudement,sharply,1
8657,резко,rudement,harshly,1
8658,резко,brusquement,sharply,1
8659,резко,brusquement,sharp,1
8660,резко,brusquement,rapidly,1
8661,резко,brusquement,abruptly,1
8662,резко,brusquement,suddenly,1
8663,резко,brusquement,brusquely,1
8664,резко,considérablement,sharply,1
8665,резко,considérablement,dramatically,1
8666,резко,considérablement,drastically,1
8667,резко,considérablement,severely,1
8668,резко,considérablement,significantly,1
8669,резко,considérablement,greatly,1
8670,резко,considérablement,markedly,1
8671,резко,radicalement,sharply,1
8672,резко,radicalement,dramatically,1
8673,резко,radicalement,drastically,1
8674,резко,radicalement,significantly,1
8675,резко,radicalement,radically,1
8676,резко,drastiquement,sharply,1
8677,резко,drastiquement,dramatically,1
8678,резко,drastiquement,drastically,1
8679,резко,drastiquement,severely,1
8680,резко,drastiquement,radically,1
8681,резко,brutalement,sharply,1
8682,резко,brutalement,dramatically,1
8683,резко,brutalement,drastically,1
8684,резко,brutalement,sharp,1
8685,резко,brutalement,severely,1
8686,резко,brutalement,abruptly,1
8687,резко,brutalement,suddenly,1
8688,резко,brutalement,stark,1
8689,резко,dramatiquement,sharply,1
8690,резко,dramatiquement,dramatically,1
8691,резко,dramatiquement,drastically,1
8692,резко,durement,severely,1
8693,резко,durement,strongly,1
8694,резко,durement,harshly,1
8695,резко,d'une manière brusque,sharp,1
8696,резко,vivement,sharply,1
8697,резко,vivement,strongly,1
8698,резко,vivement,greatly,1
8699,резко,extrêmement,severely,1
8700,резко,grandement,dramatically,1
8701,резко,grandement,severely,1
8702,резко,grandement,significantly,1
8703,резко,grandement,strongly,1
8704,резко,grandement,greatly,1
8705,единый,unique,unique,2
8706,единый,unique,single,2
8707,единый,unique,one,1
8708,единый,unique,sole,1
8709,единый,unique,unified,1
8710,единый,unique,uniform,1
8711,единый,seul,single,2
8712,единый,seul,sole,2
8713,единый,seul,unique,1
8714,единый,seul,one,1
8715,единый,unifié,single,1
8716,единый,unifié,unified,1
8717,единый,unifié,uniform,1
8718,единый,unifié,integrated,1
8719,единый,unifié,united,1
8720,единый,unifié,consolidated,1
8721,единый,unifié,joint,1
8722,единый,unifié,unitary,1
8723,единый,cohérent,integrated,1
8724,единый,homogène,unified,1
8725,единый,homogène,uniform,1
8726,единый,uni,unified,1
8727,единый,uni,united,1
8728,единый,intégral,integrated,1
8729,единый,hypostatique,no_equality,1
8730,уникальный,unique,unique,3
8731,уникальный,unique,one-of-a-kind,2
8732,уникальный,incroyable,no_equality,1
8733,уникальный,singulier,singular,1
8734,уникальный,exceptionnel,unique,1
8735,уникальный,exceptionnel,exceptional,1
8736,уникальный,du siècle,no_equality,1
8737,единственный,unique,unique,3
8738,единственный,unique,single,3
8739,единственный,unique,sole,2
8740,единственный,unique,one and only,2
8741,единственный,seul,single,3
8742,единственный,seul,alone,5
8743,единственный,seul,sole,3
8744,единственный,seul,unique,2
8745,единственный,singulier,unique,2
8746,единственный,singulier,single,2
8747,единственный,un seul,alone,1
8748,единственный,un seul,only one,1
8749,единственный,universel,no_equality,1
8750,неповторимый,unique,unique,2
8751,неповторимый,unique,only,1
8752,неповторимый,inimitable,unique,1
8753,неповторимый,exceptionnel,unique,1
8754,неповторимый,inoubliable,unique,1
8755,один,unique,single,3
8756,один,seul,single,3
8757,один,seul,alone,5
8758,один,seul,only,2
8759,один,seul,just,2
8760,один,seul,by myself,2
8761,один,seul,by yourself,2
8762,один,seul,by himself,2
8763,один,autre,another,2
8764,один,un,no_equality,1
8765,один,on,one,1
8766,один,solo,alone,1
8767,единичный,unique,singular,2
8768,единичный,unique,single,1
8769,единичный,unique,one,1
8770,единичный,unitaire,single,1
8771,единичный,sporadique,sporadic,1
8772,единичный,rare,no_equality,1
8773,одиночный,unique,single,2
8774,одиночный,solitaire,solitary,2
8775,одиночный,simple,single,1
8776,одиночный,isolé,single,1
8777,одиночный,isolé,solitary,1
8778,единородный,unique,no_equality,2
8779,единовременный,unique,one-time,2
8780,единовременный,forfaitaire,one-time,1
8781,несравненный,unique,no_equality,1
8782,несравненный,incomparable,incomparable,1
8783,несравненный,sans pareil,incomparable,1
8784,несравненный,sans égal,no_equality,1
8785,несравненный,hors pair,no_equality,1
8786,несравненный,sans rival,no_equality,1
8787,редкостный,unique,no_equality,2
8788,редкостный,rare,no_equality,1
8789,чудной,unique,no_equality,2
8790,чудной,étrange,weird,1
8791,чудной,étrange,odd,1
8792,чудной,étrange,strange,1
8793,чудной,étrange,weirdo,1
8794,чудной,loufoque,no_equality,1
8795,чудной,baroque,no_equality,1
8796,одинокий,seul,single,1
8797,одинокий,seul,alone,3
8798,одинокий,solitaire,lonely,3
8799,одинокий,solitaire,lone,3
8800,одинокий,solitaire,alone,3
8801,одинокий,solitaire,solitary,2
8802,одинокий,solitaire,lonesome,2
8803,одинокий,célibataire,single,1
8804,одинокий,homme seul,no_equality,1
8805,одинокий,sans famille,no_equality,1
8806,одинокий,veuf,no_equality,1
8807,наедине,seul,alone,2
8808,наедине,seul à seul,no_equality,1
8809,наедине,en privé,alone,1
8810,наедине,en privé,in private,1
8811,наедине,en privé,privately,1
8812,наедине,en privé,one-on-one,1
8813,наедине,en particulier,no_equality,1
8814,самостоятельно,seul,alone,2
8815,самостоятельно,tout seul,alone,3
8816,самостоятельно,tout seul,on his own,2
8817,самостоятельно,tout seul,on your own,2
8818,самостоятельно,tout seul,on my own,2
8819,самостоятельно,tout seul,single-handedly,2
8820,самостоятельно,tout seul,on its own,2
8821,самостоятельно,toute seule,alone,1
8822,самостоятельно,indépendamment,independently,1
8823,самостоятельно,indépendamment,separately,1
8824,самостоятельно,de soi,no_equality,1
8825,самостоятельно,d'une façon indépendante,no_equality,1
8826,самостоятельно,de lui-même,on its own,1
8827,самостоятельно,de lui-même,on his own,1
8828,самостоятельно,individuellement,independently,1
8829,самостоятельно,individuellement,alone,1
8830,самостоятельно,individuellement,individually,1
8831,самостоятельно,individuellement,separately,1
8832,самостоятельно,spontanément,spontaneously,1
8833,самостоятельно,séparément,independently,1
8834,самостоятельно,séparément,alone,1
8835,самостоятельно,séparément,individually,1
8836,самостоятельно,séparément,separately,1
8837,самостоятельно,de soi-même,no_equality,1
8838,самостоятельно,à son compte,on her own,1
8839,самостоятельно,pour son compte,no_equality,1
8840,одиноко,seul,alone,1
8841,одиноко,solitaire,alone,1
8842,одиноко,solitairement,no_equality,1
8843,единственно,seul,only,2
8844,единственно,seul,solely,2
8845,единственно,seulement,only,2
8846,единственно,seulement,solely,2
8847,единственно,purement,only,1
8848,единственно,purement,solely,1
8849,единственно,purement,uniquely,1
8850,самостоятельный,seul,separate,2
8851,самостоятельный,indépendant,independent,1
8852,самостоятельный,indépendant,separate,1
8853,самостоятельный,indépendant,stand-alone,1
8854,самостоятельный,indépendant,self-contained,1
8855,самостоятельный,indépendant,self-standing,1
8856,самостоятельный,indépendant,free-standing,1
8857,самостоятельный,distinct,independent,1
8858,самостоятельный,distinct,separate,1
8859,самостоятельный,distinct,stand-alone,1
8860,самостоятельный,distinct,distinct,1
8861,самостоятельный,distinct,stand alone,1
8862,самостоятельный,intrinsèque,no_equality,1
8863,сиротливый,seul,no_equality,2
8864,сиротливый,triste,no_equality,1
8865,сиротливо,seul,no_equality,2
8866,разоблачить,exposer,expose,2
8867,разоблачить,exposer,exposer,1
8868,разоблачить,démasquer,expose,1
8869,разоблачить,démasquer,uncover,1
8870,разоблачить,démasquer,unmask,1
8871,разоблачить,démasquer,reveal,1
8872,разоблачить,mettre à nu,expose,1
8873,разоблачить,mettre à nu,lay bare,1
8874,разоблачить,mettre au jour,expose,1
8875,разоблачить,mettre au jour,uncover,1
8876,разоблачить,dévêtir,no_equality,1
8877,подвергать,exposer,expose,2
8878,подвергать,exposer,exposed,1
8879,подвергать,exposer,exposer,1
8880,подвергать,exposer,put,2
8881,подвергать,exposer,endanger,2
8882,подвергать,faire subir,subject,1
8883,подвергать,faire courir,no_equality,1
8884,подвергать,subir,subject,1
8885,подвергать,subir,risk,1
8886,подвергать,subir,submit,1
8887,подвергать,infliger,subject,1
8888,подвергать,frapper,no_equality,1
8889,изложить,exposer,explain,2
8890,изложить,exposer,present,1
8891,изложить,exposer,outline,1
8892,изложить,exposer,set out,1
8893,изложить,exposer,state,1
8894,изложить,exposer,describe,1
8895,изложить,exposer,express,1
8896,изложить,exposer,expound,1
8897,изложить,exposer,set forth,1
8898,изложить,décrire,describe,1
8899,изложить,décrire,described,1
8900,изложить,décrire,explain,1
8901,изложить,indiquer,explain,1
8902,изложить,expliquer,explain,1
8903,изложить,énoncer,set out,1
8904,изложить,énoncer,state,1
8905,изложить,énoncer,express,1
8906,изложить,énoncer,outline,1
8907,изложить,énoncer,describe,1
8908,изложить,énoncer,spell out,1
8909,изложить,énoncer,set forth,1
8910,изложить,énoncer,lay out,1
8911,изложить,raconter,give,1
8912,изложить,raconter,describe,1
8913,выставить,exposer,exposer,1
8914,выставить,exposer,exhibit,2
8915,выставить,exposer,display,2
8916,выставить,exposer,put,2
8917,выставить,exposer,expose,1
8918,выставить,mettre,make,1
8919,выставить,mettre,put,1
8920,выставить,régler,no_equality,1
8921,выставить,émettre,make,1
8922,выставить,mettre dehors,no_equality,1
8923,выставить,sortir,no_equality,1
8924,выставить,avancer,no_equality,1
8925,выставить,mettre en avant,no_equality,1
8926,выставить,jeter,throw,1
8927,выставить,armer,no_equality,1
8928,выставляться,exposer,no_equality,2
8929,выставляться,s'exposer,no_equality,1
8930,выставляться,s'afficher,be displayed,1
8931,экспонировать,exposer,exposer,1
8932,экспонировать,exposer,expose,1
8933,экспонировать,impressionner,no_equality,1
8934,подвергать воздействию,exposer,exposer,1
8935,подвергать воздействию,exposer,put,2
8936,подвергать воздействию,exposer,expose,1
8937,подвергать действию,exposer,exposer,1
8938,подвергать действию,exposer,put,2
8939,подвергать действию,exposer,expose,1
8940,облучать,exposer,irradiate,2
8941,облучать,irradier,irradiate,1
8942,облучать,exposer aux rayonnements,no_equality,1
8943,облучать,bombarder,no_equality,1
8944,локомотив,locomotive,locomotive,3
8945,локомотив,locomotive,engine,3
8946,локомотив,moteur,engine,2
8947,паровозик,locomotive,train,2
8948,движущая сила,locomotive,driving force,1
8949,движущая сила,puissance,no_equality,1
8950,движущая сила,moteur,driving force,2
8951,движущая сила,moteur,mover,2
8952,движущая сила,force motrice,driving force,1
8953,движущая сила,force motrice,motive power,1
8954,движущая сила,énergie motrice,driving force,1
8955,движущая сила,énergie motrice,motive power,1
8956,движущая сила,puissance motrice,motive power,1
8957,движущая сила,facteur,no_equality,1
8958,движущая сила,pivot,no_equality,1
8959,движущая сила,impulsion,driving force,1
8960,движущая сила,impulsion,momentum,1
8961,движущая сила,agent moteur,no_equality,1
8962,движущая сила,force propulsive,driving force,1
8963,движущая сила,mobile,no_equality,1
8964,лидер,locomotive,no_equality,2
8965,лидер,leader,leader,1
8966,лидер,leader,leadership,1
8967,лидер,leader,lead,1
8968,лидер,leader,leading,1
8969,лидер,chef de file,leader,1
8970,лидер,chef de file,leadership,1
8971,лидер,chef de file,lead,1
8972,лидер,chef de file,leading,1
8973,лидер,chef de file,ringleader,1
8974,лидер,chef de file,champion,1
8975,лидер,maillot jaune,no_equality,1
8976,лидер,lièvre,no_equality,1
8977,палец,doigt,finger,5
8978,палец,doigt,fingertip,2
8979,палец,doigt,digit,2
8980,палец,doigt,thumb,2
8981,палец,doigt,toe,2
8982,палец,index,finger,1
8983,палец,broche,no_equality,1
8984,палец,axe,no_equality,1
8985,палец,bouton,no_equality,1
8986,палец,came,no_equality,1
8987,палец,maneton,no_equality,1
8988,палец,dé,no_equality,1
8989,палец,entraîneur,no_equality,1
8990,палец,fuseau,no_equality,1
8991,пальчик,doigt,finger,3
8992,пальчик,doigt,toe,1
8993,мизинец,doigt,finger,2
8994,мизинец,petit doigt,pinkie,1
8995,мизинец,petit doigt,little finger,1
8996,мизинец,petit doigt,pinky,1
8997,мизинец,le petit doigt,pinky,1
8998,мизинец,auriculaire,pinkie,1
8999,мизинец,auriculaire,little finger,1
9000,мизинец,auriculaire,pinky,1
9001,мизинец,petit orteil,little toe,1
9002,мизинец,petit orteil,pinkie toe,1
9003,рука,doigt,finger,1
9004,рука,écriture,hand,2
9005,рука,main,hand,1
9006,рука,main,touch,1
9007,рука,main,fist,1
9008,рука,bras,hand,1
9009,рука,bras,arm,1
9010,рука,pince,no_equality,1
9011,рука,menotte,no_equality,1
9012,рука,louche,hand,1
9013,рука,piston,wrist,1
9014,рука,aileron,no_equality,1
9015,рычаг,doigt,no_equality,2
9016,рычаг,levier,lever,1
9017,рычаг,levier,leverage,1
9018,рычаг,levier,switch,1
9019,рычаг,levier,arm,1
9020,рычаг,levier,stick,1
9021,рычаг,levier,shifter,1
9022,рычаг,bras,arm,1
9023,рычаг,levier de commande,no_equality,1
9024,рычаг,barre,no_equality,1
9025,рычаг,biellette,no_equality,1
9026,рычаг,balancier,no_equality,1
9027,рычаг,pince,no_equality,1
9028,рычаг,gaffe,no_equality,1
9029,штифт,doigt,pin,2
9030,штифт,goupille,pin,1
9031,штифт,fiche,no_equality,1
9032,штифт,cheville ouvrière,no_equality,1
9033,штифт,étalon,no_equality,1
9034,дюйм,doigt,no_equality,1
9035,дюйм,pouce,inch,1
9036,отросток,doigt,no_equality,2
9037,отросток,apophyse,process,1
9038,отросток,appendice,appendage,1
9039,отросток,processus,process,1
9040,отросток,pousse,no_equality,1
9041,отросток,rejeton,no_equality,1
9042,отросток,prolongement,no_equality,1
9043,отросток,queue,no_equality,1
9044,отросток,rejet,no_equality,1
9045,индекс,index,index,3
9046,индекс,index,indicator,2
9047,индекс,nombre,no_equality,1
9048,индекс,référence,no_equality,1
9049,указатель,index,index,2
9050,указатель,index,pointer,1
9051,указатель,index,indicator,1
9052,указатель,pointe,no_equality,2
9053,указатель,indication,indicator,1
9054,указатель,indication,guide,1
9055,указатель,indication,sign,1
9056,указатель,curseur,pointer,1
9057,указатель,panneau indicateur,signpost,1
9058,указатель,panneau indicateur,sign,1
9059,указатель,marqueur,marker,1
9060,указатель,marqueur,sign,1
9061,указатель,moniteur,no_equality,1
9062,указатель,avertisseur,no_equality,1
9063,указатель,poteau,signpost,1
9064,указатель,viseur,no_equality,1
9065,указатель,style,no_equality,1
9066,указатель,registre,no_equality,1
