,en,ru,fr,votes
2723,star,главные роли,no_equality,1
2724,star,дива,no_equality,1
2725,star,звездный,stellaire,2
2726,star,сниматься,jouer,1
2727,star,играть главные роли,no_equality,1
2728,feather,перо,plume,2
2729,feather,пёрышко,plume,1
2730,feather,перья,plume,1
2731,exercise,осуществление,exercice,4
2732,exercise,осуществление,réalisation,1
2733,exercise,исполнение,exercice,2
2734,exercise,упражнение,exercice,4
2735,exercise,мероприятие,exercice,2
2736,exercise,работа,exercice,2
2737,exercise,выполнение,exercice,2
2738,exercise,реализация,exercice,2
2739,exercise,осуществлять,exercer,4
2740,exercise,осуществить,exercer,2
2741,exercise,выполнять,exercer,2
2742,exercise,пользоваться,exercer,3
2743,exercise,проявлять,exercer,2
2744,exercise,проявлять,faire preuve,1
2745,exercise,зарядка,no_equality,1
2746,exercise,занятие,no_equality,1
2747,exercise,гимнастика,no_equality,1
2748,exercise,учение,exercice,2
2749,exercise,выполнение упражнения,exercice,1
2750,exercise,выполнение упражнения,sport,1
2751,exercise,экзерсис,no_equality,1
2752,exercise,моцион,no_equality,1
2753,exercise,занятие физкультурой,no_equality,1
2754,exercise,упражнять,no_equality,1
2755,exercise,упражнять,exercer,1
2756,exercise,использовать,exercer,1
2757,exercise,оказывать,exercer,1
2758,exercise,заниматься физическими упражнениями,no_equality,1
2759,exercise,пример,exercice,2
2760,exercise,реализовать,exercer,1
2761,relatively,относительно,relativement,2
2762,relatively,сравнительно,relativement,1
2763,relatively,довольно,relativement,1
2764,relatively,весьма,relativement,1
2765,relatively,относительный,relativement,1
2766,relatively,достаточно,assez,1
2767,in respect,no_equality,relativement,1
2768,in respect of,относительно,relativement,1
2769,blond,блондин,blond,1
2770,blond,блондинка,blond,1
2771,blonde hair,no_equality,blond,1
2772,blond hair,no_equality,blond,1
2773,advanced,передовой,avancé,3
2774,advanced,передовой,no_equality,1
2775,advanced,развитый,avancé,2
2776,advanced,развитый,no_equality,1
2777,advanced,продвинуть,avancé,2
2778,advanced,развитой,no_equality,1
2779,advanced,развитой,avancé,1
2780,advanced,дополнительный,no_equality,1
2781,advanced,перспективный,no_equality,1
2782,advanced,опытный,no_equality,1
2783,advanced,повышенный,no_equality,1
2784,advanced,преклонный,avancé,1
2785,advanced,усовершенствованный,no_equality,1
2786,advanced,расширенный,no_equality,1
2787,advanced,расширенный,avancé,1
2788,advanced,продвинутый,avancé,2
2789,advanced,выдвинутый,no_equality,1
2790,advanced,углубленный,no_equality,1
2791,advanced,опережающий,no_equality,1
2792,advanced,авансированный,no_equality,1
2793,advanced,no_equality,Advanced,1
2794,breeder,no_equality,éleveur,1
2795,breeder,заводчик,éleveur,1
2796,reputable breeder,no_equality,éleveur,1
2797,superb,великолепный,superbe,1
2798,superb,великолепный,magnifique,1
2799,superb,отличный,excellent,1
2800,superb,превосходный,superbe,1
2801,great,отличный,superbe,1
2802,great,отличный,bon,1
2803,great,отличный,formidable,1
2804,great,великолепный,superbe,1
2805,great,великолепный,magnifique,1
2806,great,великолепный,beau,1
2807,great,замечательный,superbe,1
2808,great,замечательный,formidable,2
2809,great,замечательный,merveilleux,1
2810,great,no_equality,idéal,1
2811,great,отлично,bon,1
2812,great,великолепно,magnifique,1
2813,great,великолепно,formidable,1
2814,great,потрясающий,magnifique,1
2815,great,потрясающий,excellent,1
2816,great,потрясающий,merveilleux,1
2817,great,потрясающий,formidable,1
2818,great,большой,excellent,1
2819,great,большой,bon,1
2820,great,большой,fort,1
2821,great,хорошо,bien,2
2822,great,хорошо,bon,1
2823,great,очень,bien,2
2824,great,очень,très,1
2825,great,очень,super,1
2826,great,очень,fort,1
2827,great,потрясающе,extrêmement,1
2828,great,чудесно,merveilleux,1
2829,great,великий,merveilleux,1
2830,great,прекрасное,beau,1
2831,great,значительный,beau,1
2832,great,хорошее,bon,1
2833,great,супер,super,1
2834,great,круто,super,1
2835,great,классный,super,1
2836,great,огромный,formidable,1
2837,lovely,прекрасный,superbe,1
2838,lovely,прекрасный,merveilleux,1
2839,lovely,отличный,superbe,1
2840,lovely,красивый,superbe,1
2841,lovely,красивый,beau,1
2842,lovely,замечательный,superbe,1
2843,lovely,замечательный,merveilleux,2
2844,lovely,чудесный,merveilleux,1
2845,lovely,чудесный,magnifique,1
2846,lovely,чудесно,merveilleux,2
2847,lovely,прекрасное,beau,1
2848,fan,фанат,fan,2
2849,fan,поклонник,fan,2
2850,fan,фанатка,fan,1
2851,fan,поклонница,fan,1
2852,fan,фан,fan,1
2853,fan,любить,fan,1
2854,fan,вентилятор,ventilateur,4
2855,fan,вентилятор,fan,1
2856,fan,веер,ventilateur,2
2857,fan,веер,éventail,2
2858,fan,фэн,no_equality,1
2859,fan,болельщица,no_equality,1
2860,fan,веялка,no_equality,1
2861,fan,обмахивать,éventer,2
2862,fan,раздувать,attiser,2
2863,fan,дуть,no_equality,1
2864,fan,вентиляторный,no_equality,1
2865,fan,фанатский,no_equality,1
2866,fan,веерный,no_equality,1
2867,fan,разжигать,attiser,1
2868,CA,к.а,CA,1
2869,CA,са,CA,1
2870,mail,почта,courrier,2
2871,mail,письмо,courrier,1
2872,mail,письмо,lettre,1
2873,mail,корреспонденция,courrier,1
2874,email,письмо,courrier,1
2875,burning,no_equality,brûlant,1
2876,burning,жгучий,brûlant,1
2877,burning,обжигающий,brûlant,1
2878,burning,животрепещущий,brûlant,1
2879,burning,горящий,brûlant,1
2880,burning,пожар,incendie,1
2881,burning,горение,incendie,1
2882,hot,no_equality,brûlant,1
2883,hot,горячий,chaud,4
2884,hot,горячий,sexy,1
2885,hot,жаркий,chaud,2
2886,hot,жар,chaud,2
2887,hot,жар,chaleur,1
2888,hot,жаркое,chaud,2
2889,hot,острый,épicé,1
2890,hot,популярный,no_equality,1
2891,hot,жгучий,brûlant,1
2892,hot,горячительный,no_equality,1
2893,hot,жарко,no_equality,1
2894,hot,горячо,no_equality,1
2895,hot,разгоряченный,no_equality,1
2896,hot,горящий,no_equality,1
2897,hot,накалиться,no_equality,1
2898,hot,круто,chaud,1
2899,hot,круто,super,1
2900,hot,сексуально привлекательный,sexy,1
2901,hot,чрезмерно сексуальный,sexy,1
2902,hot,супер,super,1
2903,hot,классный,super,1
2904,definitely,определённо,définitivement,1
2905,definitely,точно,définitivement,1
2906,definitely,точно,vraiment,1
2907,definitely,окончательно,définitivement,2
2908,definitely,явно,définitivement,1
2909,definitely,безусловно,définitivement,1
2910,definitely,обязательно,sûr,1
2911,definitely,конечно,sûr,1
2912,definitely,определенно,définitivement,1
2913,definitely,действительно,vraiment,1
2914,permanently,окончательно,définitivement,2
2915,permanently,навсегда,définitivement,2
2916,permanently,окончательный,définitivement,1
2917,permanently,постоянно,définitivement,1
2918,permanently,необратимо,définitivement,1
2919,definitively,определённо,définitivement,1
2920,definitively,окончательно,définitivement,2
2921,definitively,окончательный,définitivement,1
2922,definitively,окончательный,définitif,1
2923,definitively,определенно,définitivement,1
2924,alarmed,no_equality,alarmer,1
2925,alarmed,встревоженный,alarmé,1
2926,journey,поездка,trajet,2
2927,journey,поездка,voyage,2
2928,journey,поездка,périple,1
2929,journey,путь,trajet,2
2930,journey,путь,voyage,2
2931,journey,путь,chemin,1
2932,journey,путь,route,1
2933,journey,путь,parcours,1
2934,journey,путь,périple,1
2935,journey,дорога,trajet,1
2936,journey,дорога,voyage,1
2937,journey,дорога,route,1
2938,journey,маршрут,trajet,2
2939,journey,маршрут,parcours,2
2940,journey,путешествие,voyage,2
2941,journey,путешествие,aventure,1
2942,journey,путешествие,parcours,1
2943,journey,путешествие,périple,2
2944,journey,рейс,voyage,2
2945,journey,рейс,parcours,1
2946,journey,рейс,route,1
2947,journey,проезд,voyage,3
2948,journey,проезд,transport,1
2949,journey,переезд,no_equality,1
2950,journey,странствование,no_equality,1
2951,journey,путешествовать,voyager,2
2952,journey,полёт,voyage,1
2953,journey,странствие,voyage,2
2954,journey,приключение,aventure,1
2955,journey,шоссейная дорога,route,1
2956,journey,проезжая дорога,route,1
2957,journey,плавание,voyage,1
2958,route,путь,trajet,1
2959,route,дорога,trajet,1
2960,route,дорога,route,1
2961,route,маршрут,trajet,2
2962,route,маршрут,parcours,1
2963,route,прохождения,parcours,1
2964,route,шоссейная дорога,route,1
2965,route,проезжая дорога,route,1
2966,route,путь следования,route,1
2967,travelling,no_equality,trajet,1
2968,travelling,no_equality,voyager,1
2969,travelling,путешествие,voyage,1
2970,precisely,именно,précisément,1
2971,precisely,именно,exactement,1
2972,precisely,именно,justement,2
2973,precisely,точно,précisément,2
2974,precisely,точно,exactement,2
2975,precisely,как раз,précisément,2
2976,precisely,как раз,exactement,1
2977,precisely,как раз,justement,2
2978,precisely,чётко,précisément,1
2979,precisely,конкретно,précisément,1
2980,precisely,конкретно,exactement,2
2981,precisely,точный,précisément,1
2982,precisely,ровно,exactement,2
2983,precisely,четко,précisément,1
2984,precisely,в точности,exactement,1
2985,how,как,comment,2
2986,how,откуда,comment,1
2987,how,какой образ,comment,1
2988,how,насколько,comment,1
2989,how,как именно,comment,1
2990,how,каким образом,comment,1
2991,drop,снижение,baisse,2
2992,drop,снижение,baisser,1
2993,drop,сокращение,baisse,1
2994,drop,сокращение,baisser,1
2995,drop,падение,baisse,1
2996,drop,падение,chute,1
2997,drop,спад,baisse,1
2998,drop,снижаться,baisser,1
2999,drop,снижаться,tomber,1
3000,drop,падать,baisser,1
3001,drop,упасть,tomber,1
3002,drop,упасть,baisser,1
3003,seize,воспользоваться,saisir,2
3004,seize,использовать,saisir,1
3005,seize,схватить,saisir,2
3006,seize,конфисковать,saisir,2
3007,seize,ухватиться,saisir,1
3008,cup,чашка,tasse,2
3009,cup,чашечка,tasse,1
3010,cup,кружка,tasse,1
3011,cup,кофе,tasse,1
3012,cup,стакан,tasse,1
3013,wipe,вытереть,essuyer,1
3014,wipe,подтереть,essuyer,1
3015,wipe away,no_equality,essuyer,1
3016,MOP,no_equality,essuyer,1
3017,vacuum,вакуум,vide,2
3018,vacuum,пустота,vide,2
3019,vacuum,ощущение пустоты,vide,1
3020,blank,пустой,vide,2
3021,blank,пусто,vide,1
3022,blank,пустота,vide,1
3023,blank,холостой ход,vide,1
3024,warmly,искренне,chaleureusement,1
3025,warmly,от весь душа,chaleureusement,1
3026,warmly,тепло,chaleureusement,2
3027,warmly,горячо,chaleureusement,2
3028,warm welcome,no_equality,chaleureusement,1
3029,lower,снижаться,baisser,1
3030,lower,опустить,baisser,1
3031,lower,понизить,baisser,1
3032,lower,снижение,baisser,1
3033,lower,снижение,baisse,1
3034,lower,сокращение,baisser,1
3035,lower,снизить,baisser,1
3036,decline,снижаться,baisser,1
3037,decline,сокращаться,baisser,1
3038,decline,сократиться,baisser,1
3039,decline,снижение,baisser,1
3040,decline,снижение,déclin,1
3041,decline,сокращение,baisser,1
3042,decline,сокращение,déclin,1
3043,decline,упадок,déclin,2
3044,decline,упадок,chute,1
3045,decline,спад,déclin,1
3046,decline,падение,déclin,1
3047,decline,уменьшение,déclin,1
3048,decline,убыль,déclin,1
3049,decline,закат,déclin,1
3050,decrease,снижаться,baisser,1
3051,decrease,сокращаться,baisser,1
3052,decrease,сократиться,baisser,1
3053,decrease,снижение,baisser,1
3054,decrease,снижение,baisse,1
3055,decrease,снижение,déclin,1
3056,decrease,сокращение,baisser,1
3057,decrease,снизить,baisser,1
3058,decrease,убыль,déclin,1
3059,cut,сокращение,baisser,1
3060,supplementary,дополнительный,additionnel,2
3061,supplementary,дополнительный,supplémentaire,1
3062,supplementary,дополнительный,complémentaire,1
3063,supplementary,дополнение,supplément,1
3064,perform,осуществлять,exercer,2
3065,perform,выполнять,exercer,1
3066,perform,заниматься,exercer,1
3067,perform,работать,exercer,1
3068,perform,выполнение,exercer,1
3069,perform,нести,exercer,1
3070,perform,совершать,exercer,1
3071,perform,играть,jouer,1
3072,perform,выступить,jouer,1
3073,practice,осуществлять,exercer,2
3074,practice,заниматься,exercer,1
3075,curriculum,no_equality,cursus,1
3076,curriculum,no_equality,curriculum,1
3077,curriculum,учебный план,programme,1
3078,curriculum,курс обучения,cursus,1
3079,curriculum,программа,programme,2
3080,curriculum,куррикулум,no_equality,1
3081,curriculum,расписание,programme,1
3082,curriculum,содержание образования,no_equality,1
3083,curriculum,учебная программа,cursus,1
3084,lack,не хватать,manquer,2
3085,lack,отсутствовать,manquer,1
3086,humbly,смиренно,humblement,2
3087,humbly,скромно,humblement,1
3088,drought,засуха,sécheresse,2
3089,dryness,no_equality,sécheresse,1
3090,dryness,засуха,sécheresse,1
3091,dryness,сухость,sécheresse,1
3092,room,комната,chambre,2
3093,room,палата,chambre,1
3094,room,номер,chambre,2
3095,room,горница,chambre,1
3096,room,Палата,Chambre,1
3097,guest room,no_equality,chambre,1
3098,fish,рыба,poisson,4
3099,fish,рыба,pêche,1
3100,fish,рыбка,poisson,2
3101,fish,Фиш,no_equality,1
3102,fish,рыбный,fish,1
3103,fish,рыбный,pêche,1
3104,fish,ловить рыбу,pêcher,1
3105,fish,удить,no_equality,1
3106,fish,выудить,no_equality,1
3107,fish,рыбина,poisson,1
3108,fish,улов,poisson,1
3109,fish,улов,pêche,2
3110,fish,рыболовство,pêche,2
3111,fish,рыбалка,pêche,1
3112,fish,ловить,pêcher,1
3113,fish,удить рыбу,pêcher,1
3114,learn,узнать,apprendre,2
3115,learn,научиться,apprendre,1
3116,learn,научить,apprendre,1
3117,learn,учиться,apprendre,2
3118,learn,учить,apprendre,1
3119,learn,выучить,apprendre,2
3120,learn,выучить,savoir,1
3121,learn,узнавать,apprendre,1
3122,learn,изучать,apprendre,1
3123,learn,понять,apprendre,1
3124,learn,знать,apprendre,1
3125,learn,знать,savoir,1
3126,learn,изучить,apprendre,1
3127,learn,освоить,apprendre,1
3128,power,держава,puissance,1
3129,power,сила,puissance,2
3130,power,сила,pouvoir,2
3131,power,мощь,puissance,1
3132,power,мощность,puissance,2
3133,power,энергия,puissance,1
3134,power,власть,puissance,1
3135,power,власть,pouvoir,2
3136,power,могущество,puissance,1
3137,power,полномочие,pouvoir,2
3138,power,возможность,pouvoir,2
3139,power,право,pouvoir,2
3140,power,право,faculté,1
3141,power,способность,pouvoir,1
3142,power,способность,faculté,1
3143,power,ток,courant,1
3144,power,электричество,électricité,1
3145,power,энергетика,électricité,1
3146,power,власти,puissance,1
3147,power,влияние,puissance,1
3148,power,полномочия,compétence,1
3149,dance,танец,danse,3
3150,dance,танец,Dance,2
3151,dance,танец,dance,1
3152,dance,танец,bal,1
3153,dance,танцевать,danser,4
3154,dance,танцевать,dansant,1
3155,dance,потанцевать,danser,2
3156,dance,станцевать,danser,2
3157,dance,бал,bal,2
3158,dance,танцевальная музыка,no_equality,1
3159,dance,танцевальный вечер,soirée,1
3160,dance,танцевальное искусство,danse,1
3161,dance,танцулька,no_equality,1
3162,dance,хореография,chorégraphie,1
3163,dance,приплясывать,no_equality,1
3164,dance,хореографический,no_equality,1
3165,dance,плясовой,no_equality,1
3166,dance,плясать,danser,1
3167,dance,сплясать,danser,1
3168,dance,поплясать,danser,1
3169,dance,танцевальный,dansant,1
3170,goal,цель,but,2
3171,goal,задача,but,1
3172,goal,гол,but,2
3173,purpose,цель,but,2
3174,purpose,цель,fin,1
3175,purpose,задача,but,1
3176,purpose,смысл,but,1
3177,purpose,предназначение,but,1
3178,purpose,назначение,but,1
3179,purpose,причина,raison,1
3180,objective,цель,but,2
3181,objective,задача,but,1
3182,selection,отбор,sélection,1
3183,selection,выбор,sélection,2
3184,selection,выбор,choix,1
3185,selection,подбор,sélection,1
3186,selection,выделение,sélection,2
3187,selection,избрание,sélection,1
3188,selection,избрание,choix,1
3189,selection,производить отбор,sélectionner,1
3190,selection,селекция,sélection,1
3191,drill,no_equality,percer,1
3192,drill,упражнение,exercice,1
3193,drill,учение,exercice,1
3194,pierce,no_equality,percer,1
3195,pierce,пронзить,percer,1
3196,boring,no_equality,percer,1
3197,order,приказать,ordonner,2
3198,order,приказать,commander,1
3199,order,предписывать,ordonner,1
3200,order,порядок,ordre,4
3201,order,приказ,ordre,4
3202,order,приказ,arrêté,1
3203,order,приказ,décision,1
3204,order,орден,ordre,4
3205,order,распоряжение,ordre,2
3206,order,последовательность,ordre,4
3207,order,ордер,ordre,2
3208,order,поручение,ordre,2
3209,order,заказать,commander,3
3210,order,заказать,ordonner,1
3211,order,заказывать,commander,3
3212,order,заказ,commande,2
3213,order,заказ,ordre,2
3214,order,строй,no_equality,1
3215,order,приказание,ordre,2
3216,order,приказывать,commander,2
3217,order,приказывать,ordonner,1
3218,order,упорядочить,no_equality,1
3219,order,строить,ordre,1
3220,order,наряд,ordre,1
3221,order,командовать,commander,1
3222,order,постановление,arrêté,1
3223,order,предписать,prescrire,1
3224,order,делать заказ,commander,1
3225,sport,спорт,sport,2
3226,sport,вид спорт,sport,1
3227,sports,спорт,sport,1
3228,prescribe,no_equality,prescrire,1
3229,prescribe,прописать,ordonner,1
3230,prescribe,прописать,prescrire,1
3231,prescribe,предписать,prescrire,1
3232,prescribe,выписывать,prescrire,1
3233,leave,покинуть,quitter,2
3234,leave,покинуть,partir,1
3235,leave,покинуть,sortir,1
3236,leave,покидать,quitter,1
3237,leave,покидать,partir,1
3238,leave,бросить,quitter,1
3239,leave,оставить,quitter,1
3240,leave,бросать,quitter,1
3241,leave,оставлять,quitter,1
3242,leave,уходить,quitter,1
3243,leave,уходить,partir,1
3244,leave,уходить,sortir,1
3245,leave,уезжать,quitter,1
3246,leave,уезжать,partir,1
3247,leave,уйти,partir,1
3248,leave,уйти,sortir,1
3249,leave,уехать,partir,2
3250,leave,уехать,quitter,1
3251,leave,идти,partir,2
3252,leave,идти,sortir,2
3253,leave,выезд,sortie,1
3254,leave,выйти,quitter,1
3255,leave,выйти,sortir,1
3256,leave,отъезд,départ,1
3257,leave,отправиться,partir,1
3258,exit,покинуть,quitter,3
3259,exit,покинуть,sortir,1
3260,exit,выйти,quitter,4
3261,exit,выйти,sortir,3
3262,exit,уйти,sortir,1
3263,exit,выход,sortie,3
3264,exit,выход,issue,2
3265,exit,выход,retrait,1
3266,exit,выезд,sortie,3
3267,exit,выезд,départ,1
3268,exit,уход,retrait,2
3269,exit,уход,départ,1
3270,exit,уход,désengagement,1
3271,exit,уход,sortie,1
3272,exit,съезд,no_equality,1
3273,exit,съезд,sortie,1
3274,exit,свернуть,no_equality,1
3275,exit,выездной,no_equality,1
3276,exit,выходной,no_equality,1
3277,exit,поворот,sortie,1
3278,exit,место выхода,sortie,1
3279,troop,отряд,troupe,2
3280,troop,войска,troupe,1
3281,troop,отряд скаутов,troupe,1
3282,troop,стая,troupe,1
3283,troupe,труппа,troupe,2
3284,expertise,опыт,expertise,4
3285,expertise,опыт,savoir-faire,1
3286,expertise,опыт,compétence,1
3287,expertise,опыт,expérience,2
3288,expertise,опыт,connaissances spécialisées,1
3289,expertise,экспертиза,expertise,3
3290,expertise,экспертиза,no_equality,1
3291,expertise,специалист,expertise,2
3292,expertise,компетентность,compétence,1
3293,expertise,мастерство,no_equality,1
3294,expertise,мастерство,maîtrise,1
3295,expertise,квалификация,no_equality,1
3296,expertise,квалификация,expertise,1
3297,expertise,квалификация,compétence,1
3298,expertise,экспертные знания,compétence,1
3299,expertise,эксперт,spécialiste,1
3300,expertise,эксперт,expertise,1
3301,expertise,профессионализм,no_equality,1
3302,expertise,экспертный потенциал,expertise,2
3303,expertise,экспертный потенциал,savoir-faire,1
3304,expertise,экспертный потенциал,connaissances spécialisées,1
3305,expertise,знание дела,maîtrise,1
3306,expertise,знание дела,expertise,1
3307,expertise,деловой опыт,expertise,1
3308,expertise,деловой опыт,compétence,1
3309,expertise,деловой опыт,expérience,1
3310,expertise,экспертный,compétence,1
3311,expertise,компетенция,expertise,2
3312,expertise,экспертный знание,expertise,1
3313,expertise,знание,expertise,1
3314,size,размер,taille,4
3315,size,размер,dimension,2
3316,size,размер,pointure,2
3317,size,рост,taille,3
3318,size,численность,taille,3
3319,size,численность,nombre,2
3320,size,численность,effectif,1
3321,size,масштаб,taille,3
3322,size,объём,taille,2
3323,size,формат,format,2
3324,size,формат,modèle,1
3325,size,емкость,taille,1
3326,size,диаметр,no_equality,1
3327,size,габариты,dimension,2
3328,size,крупность,no_equality,1
3329,size,кегль,no_equality,1
3330,size,разм,no_equality,1
3331,size,размерный,no_equality,1
3332,size,численность персонала,effectif,1
3333,carved,no_equality,taillé,1
3334,carved,вырезанный,taillé,2
3335,context,контекст,contexte,2
3336,context,обстановка,contexte,1
3337,context,условие,contexte,1
3338,context,ситуация,contexte,1
3339,context,фон,contexte,1
3340,context,учёт,contexte,1
3341,context,план,contexte,1
3342,context,условия,contexte,1
3343,simply,просто,simplement,2
3344,simply,просто,seulement,1
3345,simply,только,simplement,1
3346,simply,только,juste,1
3347,simply,только,seulement,1
3348,simply,только,uniquement,1
3349,simply,исключительно,simplement,1
3350,simply,простой,simplement,1
3351,simply,попросту,simplement,2
3352,simply,просто-напросто,simplement,1
3353,test,тест,test,2
3354,test,проверка,test,1
3355,test,анализ,test,1
3356,test,испытание,test,1
3357,test,тестирование,test,1
3358,test,экзамен,test,1
3359,test,экзамен,examen,1
3360,test,эксперимент,test,1
3361,test,критерий,test,1
3362,crisis,кризис,crise,2
3363,crisis,кризисный ситуация,crise,1
3364,crisis,состояние кризиса,crise,1
3365,crisis,перелом,crise,1
3366,information,информация,information,2
3367,information,дать,information,1
3368,information,информирование,information,1
3369,information,сведение,information,1
3370,information,материал,information,1
3371,information,информационный,information,1
3372,information,знания,savoir,1
3373,departure,отъезд,départ,2
3374,departure,уход,départ,2
3375,departure,выезд,départ,1
3376,departure,выезд,sortie,1
3377,departure,вылет,départ,1
3378,departure,выход,départ,1
3379,departure,отбытие,départ,1
3380,departure,отток,sortie,1
3381,departure,убытие,sortie,1
3382,departure,отплытие,départ,1
3383,departure,отход,départ,1
3384,depart,no_equality,départ,1
3385,depart,отправляться,décoller,1
3386,depart,покинуть,quitter,1
3387,depart,уехать,quitter,1
3388,depart,уехать,partir,1
3389,issue,вопрос,question,4
3390,issue,вопрос,problème,1
3391,issue,вопрос,sujet,1
3392,issue,вопрос,point,2
3393,issue,вопрос,thème,1
3394,issue,проблема,question,2
3395,issue,проблема,problème,1
3396,issue,тема,question,2
3397,issue,тема,sujet,1
3398,issue,тема,thème,1
3399,issue,пункт,question,2
3400,issue,аспект,question,2
3401,issue,связь,question,2
3402,issue,задача,question,2
3403,issue,выпуск,émission,2
3404,issue,выпуск,numéro,1
3405,issue,выпуск,édition,1
3406,issue,выпуск,publication,2
3407,issue,выпуск,sortie,1
3408,issue,выдача,émission,1
3409,issue,выдача,délivrance,2
3410,issue,номер,numéro,1
3411,issue,вытекание,no_equality,1
3412,issue,эмиссия,émission,1
3413,issue,выдавать,donner,1
3414,issue,выдавать,émettre,1
3415,issue,выпускать,publier,1
3416,issue,выпускать,émettre,1
3417,issue,издавать,publier,1
3418,issue,издавать,émettre,1
3419,issue,оформить,no_equality,1
3420,issue,эмиссионный,no_equality,1
3421,issue,издать,émettre,1
3422,issue,выдать,émettre,2
3423,issue,выписать,émettre,1
3424,issue,давать,émettre,1
3425,issue,давать,donner,1
3426,issue,выносить,émettre,1
3427,issue,отдавать,donner,1
3428,issue,опубликовать,publier,1
3429,issue,выпускать в свет,publier,1
3430,withdrawal,вывод,retrait,2
3431,withdrawal,уход,retrait,2
3432,withdrawal,снятие,retrait,2
3433,withdrawal,отзыв,retrait,2
3434,withdrawal,отмена,retrait,2
3435,withdrawal,отвод,retrait,1
3436,withdrawal,лишение,retrait,1
3437,withdrawal,аннулирование,retrait,1
3438,withdrawal,отказ,retrait,1
3439,withdrawal,свёртывание,retrait,1
3440,withdrawal,изъятие,retrait,1
3441,withdrawal,отступление,retrait,1
3442,remove,no_equality,retrait,1
3443,remove,вытащить,sortir,1
3444,remove,вывести,sortir,1
3445,many,много,beaucoup,2
3446,many,много,bien,2
3447,many,множество,beaucoup,1
3448,lot,куча,beaucoup,1
3449,lot,куча,troupe,1
3450,lot,большой количество,beaucoup,1
3451,lot,многий,beaucoup,1
3452,lot,группа,groupe,1
3453,lot,группа,troupe,1
3454,lot,группа,bande,1
3455,much,гораздо,beaucoup,2
3456,much,гораздо,bien,2
3457,much,намного,beaucoup,1
3458,much,очень,beaucoup,1
3459,much,значительно,beaucoup,2
3460,much,значительно,nettement,1
3461,much,часто,beaucoup,1
3462,much,большой,beaucoup,1
3463,much,большой,fort,1
3464,much,значительный,beaucoup,1
3465,much,немало,beaucoup,1
3466,much,очень много,beaucoup,1
3467,much,весьма,beaucoup,1
3468,much,далеко,loin,1
3469,much,высоко,loin,1
3470,much,много,bien,2
3471,much,много,beaucoup,1
3472,much,широко,largement,1
3473,much,крайне,très,1
3474,much,сильно,très,1
3475,much,сильно,fort,1
3476,greatly,гораздо,beaucoup,2
3477,greatly,намного,beaucoup,1
3478,greatly,очень,beaucoup,1
3479,greatly,значительно,beaucoup,2
3480,greatly,значительно,nettement,1
3481,greatly,весьма,beaucoup,1
3482,greatly,резко,nettement,1
3483,greatly,крайне,très,1
3484,greatly,сильно,très,1
3485,member,сотрудник,membre,2
3486,member,участник,membre,2
3487,member,состав,membre,2
3488,member,представитель,membre,3
3489,member,членство,membre,2
3490,member,входить,membre,2
3491,member,член,membre,4
3492,member,член,député,1
3493,member,член,élément,1
3494,member,элемент,élément,2
3495,member,элемент,membre,1
3496,member,депутат,député,2
3497,member,член организации,membre,1
3498,member,членский,membre,1
3499,father,отец,père,2
3500,father,папа,père,1
3501,father,папаша,père,1
3502,father,папочка,père,1
3503,father,батюшка,père,1
3504,father,дед,père,1
3505,singular,no_equality,singulier,1
3506,singular,странный,no_equality,1
3507,singular,исключительный,no_equality,1
3508,singular,единичный,unique,1
3509,singular,сингулярный,no_equality,1
3510,singular,удивительный,no_equality,1
3511,singular,единственное число,singulier,2
3512,singular,сингулярно,no_equality,1
3513,singular,единственный число,singulier,1
3514,singular,уникальный,singulier,1
3515,peculiar,no_equality,singulier,1
3516,peculiar,особый,singulier,1
3517,peculiar,необычный,singulier,1
3518,peculiar,необычное,extraordinaire,1
3519,table,таблица,tableau,4
3520,table,таблица,table,4
3521,table,стол,table,4
3522,table,столик,table,2
3523,table,скрижаль,tablette,1
3524,table,скрижаль,table,1
3525,table,расписание,no_equality,1
3526,table,табель,no_equality,1
3527,table,столовая,no_equality,1
3528,table,табличка,no_equality,1
3529,table,настольный,no_equality,1
3530,table,табличный,no_equality,1
3531,table,табличный,tableau,1
3532,table,застольный,no_equality,1
3533,table,на стол,no_equality,1
3534,array,no_equality,tableau,1
3535,array,спектр,éventail,1
3536,array,набор,ensemble,1
3537,array,совокупность,ensemble,1
3538,array,комплекс,ensemble,1
3539,chart,таблица,tableau,2
3540,chart,таблица,table,1
3541,shooting,выстрел,tir,2
3542,shooting,выстрел,tiré,1
3543,shooting,стрельба,tir,2
3544,shooting,огонь,tir,2
3545,shooting,стрелять,tir,1
3546,shooting,обстрел,tir,1
3547,breakfast,завтрак,déjeuner,2
3548,breakfast,позавтракать,déjeuner,1
3549,breakfast,завтракать,déjeuner,1
3550,lunch,обед,déjeuner,1
3551,lunch,завтрак,déjeuner,2
3552,lunch,завтрак,repas,1
3553,lunch,ланч,déjeuner,1
3554,lunch,ленч,déjeuner,1
3555,lunch,пообедать,déjeuner,1
3556,lunch,обедать,déjeuner,1
3557,lunch,перекусить,déjeuner,1
3558,lunch,поесть,déjeuner,1
3559,lunch,ужин,dîner,1
3560,lunch,завтракать,déjeuner,1
3561,hardly,вряд ли,guère,2
3562,hardly,едва ли,guère,1
3563,hardly,мало,guère,2
3564,hardly,no_equality,pratiquement,1
3565,hardly,практически,quasiment,1
3566,hardly,практически,pratiquement,1
3567,hardly,едва,quasiment,1
