,English text,train_type,en_fr_translate,fr_en_translate,correct
115,I was looking at the canyon.,past_continuous,Je regardais le canyon.,I was watching the canyon.,False
116,You were standing on this balcony.,past_continuous,Vous étiez debout sur ce balcon.,You were standing on that balcony.,False
117,She was sitting at the window.,past_continuous,Elle était assise à la fenêtre.,She was sitting in the window.,False
118,I was watching from the window.,past_continuous,Je regardais par la fenêtre.,I was looking out the window.,False
119,He was looking at the captain.,past_continuous,Il était à la recherche à la capitaine.,He was looking for the captain.,False
121,I was looking for the dolphin.,past_continuous,J'ai été à la recherche pour le dauphin.,I've been looking for the dolphin.,False
122,I was looking into a mirror.,past_continuous,J'ai été regarder dans un miroir.,I went to look in the mirror.,False
123,I was playing on the computer.,past_continuous,Je joue sur l'ordinateur.,I'm playing on the computer.,False
125,I was waiting for that call.,past_continuous,J'ai été en attente pour cet appel.,I've been waiting for this call.,False
126,We were waiting for the elevator.,past_continuous,Nous avons été en attente pour l'ascenseur.,We've been waiting for the elevator.,False
127,He was looking at the box.,past_continuous,Il était à la recherche à la boîte.,He was looking at the club.,False
128,I was waiting for another letter.,past_continuous,J'ai été en attente pour une autre lettre.,I've been waiting for another letter.,False
131,He was leaving in the morning.,past_continuous,Il partait le matin.,He left in the morning.,False
133,I was looking for the library.,past_continuous,J'ai été à la recherche pour la bibliothèque.,I've been looking for the library.,False
134,You were looking for the knife.,past_continuous,Vous avez été à la recherche pour le couteau.,You've been looking for the knife.,False
138,He was running toward the cottage.,past_continuous,Il a été à courir vers la maison.,He's been running home.,False
139,She was sitting in the armchair.,past_continuous,Elle était assise dans le fauteuil.,She was sitting in the chair.,False
143,She was lying on the ground.,past_continuous,Elle était couchée sur le sol.,She was lying on the floor.,False
148,I was waiting for that woman.,past_continuous,J'ai été en attente pour cette femme.,I've been waiting for this woman.,False
149,He was sitting on the pavement.,past_continuous,Il était assis sur le trottoir.,He was sitting on the sidewalk.,False
150,I was talking about the food.,past_continuous,Je parlais de la nourriture.,I meant the food.,False
152,I was looking at a man.,past_continuous,Je cherchais chez un homme.,I was looking for a man.,False
153,We were eating in the cafeteria.,past_continuous,Nous avons été manger à la cafétéria.,We went to eat in the cafeteria.,False
154,I was looking for a friend.,past_continuous,J'ai été à la recherche pour un ami.,I've been looking for a friend.,False
156,She was looking at the house.,past_continuous,Elle était à la recherche à la maison.,She was looking around the House.,False
157,You were dancing with a girl.,past_continuous,Vous avez été danser avec une fille.,You went dancing with a girl.,False
158,He was sitting on the sofa.,past_continuous,Il était assis sur le canapé.,He was sitting on the couch.,False
159,He was wearing hospital pyjamas.,past_continuous,Il portait à l'hôpital de pyjamas.,He was at the pajama hospital.,False
162,Our parents were waiting.,past_continuous,Nos parents nous attendaient.,Our parents were waiting for us.,False
163,Our girlfriends were waiting.,past_continuous,Nos copines nous attendaient.,Our girlfriends were waiting for us.,False
164,His teeth were chattering.,past_continuous,Ses dents étaient bavardage.,His teeth were chatty.,False
166,Your neighbours were screaming,past_continuous,Vos voisins criaient,Your neighbors were screaming.,False
167,Her parents were sleeping.,past_continuous,Ses parents étaient en train de dormir.,His parents were asleep.,False
168,Their eyes were opening.,past_continuous,Leurs yeux étaient d'ouverture.,Their eyes were open.,False
170,Her knees were shaking.,past_continuous,Ses genoux tremblaient.,His knees were shaking.,False
173,His eyes were laughing.,past_continuous,Ses yeux riaient.,Her eyes were laughing.,False
174,My cheeks were burning.,past_continuous,Mes joues étaient en feu.,My cheeks were on fire.,False
176,Her nephews were laughing.,past_continuous,Ses neveux étaient en riant.,His nephews were laughing.,False
178,They were taking this experiment too seriously.,past_continuous,Ils prenaient cette expérience trop au sérieux.,They took this experience too seriously.,False
179,"As Patsy was leaving the office, Mel came in.",past_continuous,"Alors que Patsy quittait le bureau, Mel est arrivée.","As Patsy was leaving the office, Mel arrived.",False
183,We were having such a lovely evening.,past_continuous,Nous avions une belle soirée.,We had a lovely evening.,False
184,"When I looked at him, I saw that he was crying.",past_continuous,"Quand je l'ai regardé, j'ai vu qu'il pleurait.","When I looked at him, I saw he was crying.",False
185,He wanted to show him he was making progress.,past_continuous,Il voulait lui montrer qu'il faisait des progrès.,He wanted to show her that he was making progress.,False
187,"All the time he was eating, he was watching everyone in the room.",past_continuous,"Tout le temps qu'il mangeait, il regardait tout le monde dans la pièce.","All the time he ate, he looked at everyone in the room.",False
188,When I got home Kenny was waiting at the front door.,past_continuous,"Quand je suis rentré, Kenny attendait devant la porte.","When I got home, Kenny was waiting outside the door.",False
189,The sky was clear and the stars were growing bright.,past_continuous,Le ciel était clair et les étoiles devenaient brillantes.,The sky was clear and the stars were shining.,False
190,The voices were getting closer.,past_continuous,Les voix se rapprochaient.,The voices were closing in.,False
191,The soldiers were coming closer.,past_continuous,Les soldats sont venus plus près.,The soldiers came closer.,False
193,The sounds were growing louder.,past_continuous,Les sons devenaient de plus en plus forts.,The sounds were getting stronger and stronger.,False
194,I felt as though someone was watching me.,past_continuous,Je me suis senti comme si quelqu'un était en train de me regarder.,I felt like someone was looking at me.,False
196,It was not what I was expecting.,past_continuous,Ce n'était pas ce que j'attendais.,It wasn't what I expected.,False
199,I think he was looking for it.,past_continuous,Je pense qu'il était à la recherche pour elle.,I think he was looking for her.,False
209,I was watching a video before you came over.,past_continuous,Je regardais une vidéo avant que tu arrives.,I was watching a video before you arrive.,False
211,He was sitting when I saw him.,past_continuous,Il était assis quand je l'ai vu.,He was sitting there when I saw him.,False
212,He was smiling when they nabbed him.,past_continuous,Il était souriant quand ils ont attrapé lui.,He was smiling when they caught him.,False
213,He did it while I was sleeping.,past_continuous,Il l'a fait pendant que je dormais.,He did it while I was asleep.,False
214,I saw you as I was leaving.,past_continuous,Je vous ai vu que je partais.,I saw you I was leaving.,False
215,I watched you while you were sleeping.,past_continuous,J'ai regardé pendant que vous dormiez.,I looked while you were asleep.,False
216,He took it while I was sleeping.,past_continuous,Il a pris pendant que je dormais.,He took while I was sleeping.,False
0,What a good teacher.,"Артикли a, an",Ce qui fait un bon professeur.,Which makes a good teacher.,False
2,What a big room!,"Артикли a, an",Ce qui est une grande pièce!,Which is a big room!,False
4,What a fantastic view.,"Артикли a, an",Ce qui d'un point de vue fantastique.,Which in a fantastic way.,False
6,I've got a ticket.,"Артикли a, an",J'ai obtenu un billet.,I got a ticket.,False
7,I've got a dog.,"Артикли a, an",J'ai un chien.,I have a dog.,False
8,I've got an idea!,"Артикли a, an",J'ai une idée!,I have an idea!,False
9,I've got a room.,"Артикли a, an",J'ai eu une chambre.,I got a room.,False
10,I've got a friend!,"Артикли a, an",J'ai un ami!,I have a friend!,False
11,I've got a family.,"Артикли a, an",J'ai une famille.,I have a family.,False
12,I've got a job.,"Артикли a, an",J'ai un emploi.,I have a job.,False
13,We've got a problem.,"Артикли a, an",Nous avons un problème.,We have a problem.,False
14,I've got a computer.,"Артикли a, an",J'ai un ordinateur.,I have a computer.,False
15,I've got a question.,"Артикли a, an",J'ai une question.,Let me ask you something.,False
16,I've got a job!,"Артикли a, an",J'ai un travail!,I have a job!,False
17,I am not a pupil.,"Артикли a, an",Je ne suis pas un élève.,I'm not a student.,False
19,You are not a child.,"Артикли a, an",Vous n'êtes pas un enfant.,You're not a child.,False
23,We are not a team.,"Артикли a, an",Nous ne sommes pas une équipe.,We're not a team.,False
24,I am not a passenger!,"Артикли a, an",Je ne suis pas un passager!,I'm not a passenger!,False
25,I had a terrible day.,"Артикли a, an",J'ai eu une journée terrible.,I've had a terrible day.,False
28,I heard a different story.,"Артикли a, an",J'ai entendu une autre histoire.,I heard another story.,False
35,It was a long flight.,"Артикли a, an",Le vol a été long.,The flight was long.,False
36,It was a large island.,"Артикли a, an",C'était une grande île.,It was a Big Island.,False
39,It was a wonderful ship.,"Артикли a, an",C'était un beau navire.,It was a beautiful ship.,False
41,It was a brilliant plan.,"Артикли a, an",C'était un plan génial.,It was a great plan.,False
42,It was a wonderful moment.,"Артикли a, an",C'était un moment merveilleux.,It was a wonderful time.,False
44,My mom was a teacher.,"Артикли a, an",Ma mère était enseignante.,My mother was a teacher.,False
47,Your mom packed a bag.,"Артикли a, an",Ta mère a fait sa valise.,Your mother packed.,False
48,Her father was a doctor.,"Артикли a, an",Son père était un médecin.,His father was a doctor.,False
51,Your husband left a message,"Артикли a, an",Votre mari a laissé un message,Your husband left a message.,False
52,My wife was an actress.,"Артикли a, an",Ma femme est une actrice.,My wife is an actress.,False
60,I've got a plan!,"Артикли a, an",J'ai un plan!,I have a plan!,False
61,I've got a bed.,"Артикли a, an",J'ai un lit.,I have a bed.,False
62,I've got a pencil.,"Артикли a, an",J'ai un crayon.,I have a pencil.,False
63,You've got a house.,"Артикли a, an",Vous avez une maison.,You have a house.,False
64,I'm a friendly person.,"Артикли a, an",Je suis une personne sympathique.,I'm a nice person.,False
66,You are an honest man.,"Артикли a, an",Vous êtes un honnête homme.,You're an honest man.,False
69,I have a home.,"Артикли a, an",J'ai un à la maison.,I have one at home.,False
72,You are a monster.,"Артикли a, an",Vous êtes un monstre.,You're a monster.,False
78,We are a family.,"Артикли a, an",Nous sommes une famille.,We're a family.,False
79,I am a pupil.,"Артикли a, an",Je suis un élève.,I'm a student.,False
82,You are a good dancer!,"Артикли a, an",Tu es une bonne danseuse!,You're a good dancer!,False
87,You're a good mum.,"Артикли a, an",Vous êtes une bonne maman.,You're a good mom.,False
91,You're a clever girl.,"Артикли a, an",Vous êtes une fille intelligente.,You're a smart girl.,False
92,You buy a new suit.,"Артикли a, an",Tu achètes un nouveau costume.,You're buying a new suit.,False
95,Your dad had a car.,"Артикли a, an",Votre père avait une voiture.,Your father had a car.,False
99,I am a good person.,"Артикли a, an",Je suis une bonne personne.,I'm a good person.,False
101,You're a real friend.,"Артикли a, an",Vous êtes un véritable ami.,You're a true friend.,False
102,You have a young daughter.,"Артикли a, an",Vous disposez d'une jeune fille.,You have a young girl.,False
105,You're a clever girl.,"Артикли a, an",Vous êtes une fille intelligente.,You're a smart girl.,False
108,They write a test.,"Артикли a, an",Ils écrivent un test.,They're writing a test.,False
112,I take a box.,"Артикли a, an",Je prends une boîte.,I'll get a box.,False
116,We order a pizza.,"Артикли a, an",On commande une pizza.,We're ordering pizza.,False
119,You are a writer!,"Артикли a, an",Vous êtes un écrivain!,You're a writer!,False
120,You've got a friend.,"Артикли a, an",Vous avez un ami.,You have a friend.,False
121,You've got a talent.,"Артикли a, an",Vous avez un talent.,You have a talent.,False
122,I've got a son!,"Артикли a, an",J'ai un fils!,I have a son!,False
123,I've got a dog!,"Артикли a, an",J'ai un chien!,I have a dog!,False
124,They've got a daughter.,"Артикли a, an",Ils ont une fille.,They have a daughter.,False
125,I've got an apartment.,"Артикли a, an",J'ai un appartement.,I have an apartment.,False
129,I have a question!,"Артикли a, an",J'ai une question!,Let me ask you something.,False
131,You write a note.,"Артикли a, an",Vous écrivez une note.,You're writing a note.,False
134,I'm a customer.,"Артикли a, an",Je suis un client.,I am a customer.,False
135,I am a biologist.,"Артикли a, an",Je suis un biologiste.,I'm a biologist.,False
136,I am a father.,"Артикли a, an",Je suis un père.,I'm a father.,False
139,You are a doctor.,"Артикли a, an",Vous êtes un médecin.,You're a doctor.,False
140,I've got a bicycle.,"Артикли a, an",J'ai un vélo.,I have a bike.,False
148,He is a driver.,"Артикли a, an",Il est un pilote.,He's a pilot.,False
149,It is a table.,"Артикли a, an",C'est une table.,It's a table.,False
151,It's a mistake!,"Артикли a, an",C'est une erreur!,This is a mistake!,False
152,He has a car.,"Артикли a, an",Il a une voiture.,He's got a car.,False
156,She has a pen.,"Артикли a, an",Elle a un stylo.,She's got a pen.,False
157,He is a winner.,"Артикли a, an",Il est un gagnant.,He's a winner.,False
160,It is a question.,"Артикли a, an",C'est une question.,That's a question.,False
166,He is a cook.,"Артикли a, an",Il est un cuisinier.,He's a cook.,False
167,It's a city.,"Артикли a, an",C'est une ville.,It's a town.,False
169,He has an idea.,"Артикли a, an",Il a une idée.,He's got an idea.,False
181,She has a phone.,"Артикли a, an",Elle a un téléphone.,She's got a phone.,False
0,They are not going to touch anything.,to_be_going_to neg,Ils ne vont pas toucher quoi que ce soit.,They're not gonna touch anything.,False
1,I'm not going to lose money.,to_be_going_to neg,Je ne vais pas perdre de l'argent.,I'm not gonna lose any money.,False
2,We're not going to buy anything.,to_be_going_to neg,Nous n'allons pas acheter quoi que ce soit.,We're not buying anything.,False
3,We're not going to break anything.,to_be_going_to neg,Nous n'allons pas casser quoi que ce soit.,We're not gonna break anything.,False
4,I am not going to do shopping.,to_be_going_to neg,Je ne vais pas faire de shopping.,I'm not going shopping.,False
5,I am not going to explain anything.,to_be_going_to neg,Je ne vais pas expliquer quoi que ce soit.,I'm not gonna explain anything.,False
6,I am not going to prove anything.,to_be_going_to neg,Je ne vais pas à prouver quoi que ce soit.,I'm not gonna have to prove anything.,False
7,You're not going to eat rice.,to_be_going_to neg,Tu ne vas pas manger de riz.,You're not eating rice.,False
8,We're not going to do anything.,to_be_going_to neg,Nous n'allons pas faire n'importe quoi.,We're not gonna do anything.,False
11,I'm not going to forget anything.,to_be_going_to neg,Je ne vais pas oublier quoi que ce soit.,I'm not gonna forget anything.,False
13,I'm not going to make dinner.,to_be_going_to neg,Je ne vais pas faire le dîner.,I'm not making dinner.,False
15,I'm not going to leave the car.,to_be_going_to neg,Je ne vais pas quitter la voiture.,I'm not leaving the car.,False
16,I'm not going to be a doctor.,to_be_going_to neg,Je ne vais pas être un médecin.,I'm not gonna be a doctor.,False
17,I'm not going to discuss the matter.,to_be_going_to neg,Je ne vais pas discuter de la question.,I'm not going to discuss it.,False
18,I'm not going to serve any dinner.,to_be_going_to neg,Je ne vais pas servir de dîner.,I'm not serving dinner.,False
19,I'm not going to lose any time.,to_be_going_to neg,Je ne vais pas perdre de temps.,I'm not gonna waste any time.,False
21,I'm not going to take the scholarship.,to_be_going_to neg,Je ne vais pas prendre la bourse.,I'm not taking the purse.,False
22,I'm not going to rob the shop.,to_be_going_to neg,Je ne vais pas cambrioler la boutique.,I'm not robbing the store.,False
23,I'm not going to marry the prince!,to_be_going_to neg,Je ne vais pas épouser le prince!,I'm not marrying the prince!,False
24,You're not going to catch any disease.,to_be_going_to neg,Tu ne vas attraper aucune maladie.,You're not gonna get any disease.,False
25,I'm not going to drink this poison.,to_be_going_to neg,Je ne vais pas boire ce poison.,I'm not gonna drink that poison.,False
26,I'm not going to wear a hat.,to_be_going_to neg,Je ne vais pas porter un chapeau.,I'm not wearing a hat.,False
27,I'm not going to sell this company.,to_be_going_to neg,Je ne vais pas vendre cette société.,I'm not selling this company.,False
28,But I'm not going to cry.,to_be_going_to neg,Mais je ne vais pas pleurer.,But I'm not gonna cry.,False
29,I'm not going to lose my job.,to_be_going_to neg,Je ne vais pas perdre mon emploi.,I'm not gonna lose my job.,False
31,But I'm not going to ask.,to_be_going_to neg,Mais je ne vais pas demander.,But I'm not gonna ask.,False
32,I'm not going to waste my time.,to_be_going_to neg,Je ne vais pas perdre mon temps.,I'm not wasting my time.,False
33,We are not going to call your dad.,to_be_going_to neg,On ne va pas appeler ton père.,We're not gonna call your dad.,False
34,I'm not going to change my name.,to_be_going_to neg,Je ne vais pas changer mon nom.,I'm not changing my name.,False
36,I'm not going to be your friend.,to_be_going_to neg,Je ne vais pas être votre ami.,I'm not gonna be your friend.,False
37,You're not going to take his money.,to_be_going_to neg,Vous n'allez pas prendre son argent.,You're not taking his money.,False
38,You are not going there alone.,to_be_going_to neg,Vous n'êtes pas d'y aller seul.,You're not going alone.,False
40,But I'm not going to tell.,to_be_going_to neg,Mais je ne vais pas raconter.,But I'm not gonna tell.,False
41,I'm not going to do your job.,to_be_going_to neg,Je ne vais pas faire votre travail.,I'm not gonna do your job.,False
42,I'm not going to take your cat.,to_be_going_to neg,Je ne vais pas prendre votre chat.,I'm not taking your cat.,False
43,We're not going home now.,to_be_going_to neg,On ne rentre pas à la maison maintenant.,We're not going home right now.,False
44,I'm not going to be his babysitter.,to_be_going_to neg,Je ne vais pas être sa baby-sitter.,I'm not gonna be his babysitter.,False
45,I'm not going to sign your paper.,to_be_going_to neg,Je ne vais pas signer votre livre.,I'm not signing your book.,False
46,They are not going to drink tea.,to_be_going_to neg,Ils ne vont pas boire de thé.,They won't drink tea.,False
47,I'm not going to sell my clock.,to_be_going_to neg,Je ne vais pas vendre mon horloge.,I'm not selling my clock.,False
48,I'm not going to break his heart.,to_be_going_to neg,Je ne vais pas lui briser le coeur.,I'm not gonna break his heart.,False
49,We're not going to play his game.,to_be_going_to neg,Nous n'allons pas jouer à son jeu.,We're not gonna play his game.,False
50,And they're not going to stop.,to_be_going_to neg,Et ils ne vont pas s'arrêter.,And they won't stop.,False
51,He's not going to talk.,to_be_going_to neg,Il ne va pas parler.,He's not gonna talk.,False
52,He is not going to win.,to_be_going_to neg,Il ne va pas gagner.,He's not gonna win.,False
53,He's not going to come.,to_be_going_to neg,Il ne va pas venir.,He's not coming.,False
54,She is not going to answer.,to_be_going_to neg,Elle ne va pas répondre.,She's not gonna answer.,False
55,She's not going to confess!,to_be_going_to neg,Elle ne va pas l'avouer!,She's not gonna admit it!,False
56,It's not going to help!,to_be_going_to neg,Il ne va pas aider!,He's not gonna help!,False
57,She's not going to cancel.,to_be_going_to neg,Elle ne va pas annuler.,She's not gonna cancel.,False
58,She's not going to help.,to_be_going_to neg,Elle ne va pas aider.,She's not gonna help.,False
59,I'm not going to stay here.,to_be_going_to neg,Je ne vais pas rester ici.,I'm not staying here.,False
60,I'm not going to argue anymore.,to_be_going_to neg,Je ne vais pas argumenter plus.,I'm not gonna argue anymore.,False
62,You're not going to be alone.,to_be_going_to neg,Vous n'allez pas être seul.,You're not gonna be alone.,False
63,I'm not going to live long.,to_be_going_to neg,Je ne vais pas vivre longtemps.,I won't live long.,False
65,I am not going to stay here.,to_be_going_to neg,Je ne vais pas rester ici.,I'm not staying here.,False
66,I'm not going to walk away.,to_be_going_to neg,Je ne vais pas à pied.,I'm not going on foot.,False
67,I'm not going to run away.,to_be_going_to neg,Je ne vais pas courir loin.,I'm not gonna run away.,False
68,I am not going to sleep here.,to_be_going_to neg,Je ne vais pas dormir ici.,I'm not sleeping here.,False
69,I'm not going to fall asleep.,to_be_going_to neg,Je ne vais pas m'endormir.,I'm not going to sleep.,False
71,I'm not going to live forever.,to_be_going_to neg,Je ne vivrai pas éternellement.,I won't live forever.,False
72,I am not going to stand here,to_be_going_to neg,Je ne vais pas rester ici,I'm not staying here.,False
73,I'm not going to ask again.,to_be_going_to neg,Je ne vais pas vous demander à nouveau.,I'm not gonna ask you again.,False
74,I'm not going to draw again.,to_be_going_to neg,Je ne vais pas dessiner à nouveau.,I'm not gonna draw again.,False
76,We are not going to be together.,to_be_going_to neg,Nous n'allons pas être ensemble.,We're not going to be together.,False
78,I'm not going to go there.,to_be_going_to neg,Je ne vais pas y aller.,I'm not going.,False
79,I'm not going to ruin this.,to_be_going_to neg,Je ne vais pas gâcher cette.,I'm not gonna ruin this.,False
80,You're not going to win this.,to_be_going_to neg,Vous n'allez pas gagner cette.,You're not gonna win this.,False
81,I'm not going to send this.,to_be_going_to neg,Je ne vais pas envoyer cette.,I'm not gonna send this.,False
82,We aren't going to survive this.,to_be_going_to neg,Nous n'allons pas survivre à ça.,We're not gonna survive this.,False
83,I'm not going to do this.,to_be_going_to neg,Je ne vais pas le faire.,I'm not gonna do it.,False
84,I am not going to write this.,to_be_going_to neg,Je ne vais pas écrire cela.,I'm not gonna write that down.,False
85,You're not going to like this.,to_be_going_to neg,Vous n'allez pas comme ça.,You're not going like that.,False
86,I'm not going to fight this.,to_be_going_to neg,Je ne vais pas lutter contre cela.,I'm not going to fight that.,False
87,I am not going to ask this.,to_be_going_to neg,Je ne vais pas demander à ce.,I'm not gonna ask that.,False
88,I'm not going to make a list,to_be_going_to neg,Je ne vais pas faire une liste,I'm not making a list.,False
89,I'm not going to include this element.,to_be_going_to neg,Je ne vais pas inclure cet élément.,I'm not going to include that.,False
90,I'm not going to sign this contract.,to_be_going_to neg,Je ne vais pas signer ce contrat.,I'm not signing that contract.,False
91,I am not going to translate the text.,to_be_going_to neg,Je ne vais pas traduire le texte.,I'm not going to translate the text.,False
92,I'm not going to make an announcement.,to_be_going_to neg,Je ne vais pas faire une annonce.,I'm not making an announcement.,False
93,You aren't going to get the answer.,to_be_going_to neg,Vous n'allez pas obtenir la réponse.,You're not gonna get the answer.,False
94,I'm not going to play this game.,to_be_going_to neg,Je ne vais pas jouer à ce jeu.,I'm not gonna play this game.,False
95,I'm not going to become a millionaire.,to_be_going_to neg,Je ne vais pas devenir millionnaire.,I'm not going to be a millionaire.,False
96,I'm not going to have a baby.,to_be_going_to neg,Je ne vais pas avoir un bébé.,I'm not having a baby.,False
97,You aren't going to lose any power.,to_be_going_to neg,Vous n'allez pas perdre tout pouvoir.,You're not going to lose all power.,False
98,I am not going to be a spy.,to_be_going_to neg,Je ne vais pas être un espion.,I'm not gonna be a spy.,False
99,I'm not going to do any work.,to_be_going_to neg,Je ne vais pas faire tout le travail.,I'm not gonna do all the work.,False
100,I'm not going to be a coward.,to_be_going_to neg,Je ne vais pas être un lâche.,I'm not gonna be a coward.,False
101,You are not going to believe this story.,to_be_going_to neg,Vous n'êtes pas à croire cette histoire.,You don't have to believe this story.,False
102,You are not going to make the mistake,to_be_going_to neg,Vous n'allez pas faire l'erreur,You're not gonna make a mistake.,False
103,You are not going to play basketball.,to_be_going_to neg,Vous n'allez pas jouer au basket-ball.,You're not going to play basketball.,False
104,I'm not going to deny anything.,to_be_going_to neg,Je ne vais pas nier quoi que ce soit.,I'm not gonna deny anything.,False
105,I am not going to admit defeat.,to_be_going_to neg,Je ne vais pas à admettre la défaite.,I'm not going to admit defeat.,False
106,He's not going to argue.,to_be_going_to neg,Il ne va pas se disputer.,He's not gonna argue.,False
107,She's not going to stop!,to_be_going_to neg,Elle ne va pas s'arrêter!,She won't stop!,False
108,He's not going to change.,to_be_going_to neg,Il ne va pas changer.,He's not gonna change.,False
109,I'm not going to say anything.,to_be_going_to neg,Je ne vais pas dire quoi que ce soit.,I'm not gonna say anything.,False
110,I'm not going to hide anything.,to_be_going_to neg,Je ne vais pas vous cacher quoi que ce soit.,I'm not gonna hide anything from you.,False
112,I'm not going to steal anything.,to_be_going_to neg,Je ne vais pas voler quoi que ce soit.,I'm not gonna steal anything.,False
113,We're not going to harm anyone.,to_be_going_to neg,Nous n'allons pas faire de mal à personne.,We're not gonna hurt anybody.,False
114,I'm not going to buy insurance.,to_be_going_to neg,Je ne vais pas acheter une assurance.,I'm not buying insurance.,False
116,I'm not going to break anything!,to_be_going_to neg,Je ne vais pas casser quelque chose!,I'm not breaking anything!,False
118,I'm not going to mention them now.,to_be_going_to neg,Je ne vais pas en parler maintenant.,I'm not going to talk about it right now.,False
119,I'm not going to lose him now.,to_be_going_to neg,Je ne vais pas le perdre maintenant.,I'm not gonna lose him now.,False
120,I'm not going to say it again.,to_be_going_to neg,Je ne vais pas le dire encore une fois.,I'm not gonna say it again.,False
121,I'm not going to ask you again.,to_be_going_to neg,Je ne vais pas vous demander à nouveau.,I'm not gonna ask you again.,False
122,I'm not going to play it anymore.,to_be_going_to neg,Je ne vais pas jouer plus.,I'm not gonna play anymore.,False
123,They're not going to leave you alone.,to_be_going_to neg,Ils ne vont pas te laisser seule.,They're not gonna leave you alone.,False
124,I am not going to tell you again!,to_be_going_to neg,Je ne vais pas encore vous dire!,I'm not gonna tell you again!,False
125,I'm not going to discuss them here,to_be_going_to neg,Je ne vais pas en discuter ici,I'm not going to discuss it here,False
126,I'm not going to do it again.,to_be_going_to neg,Je ne vais pas le faire à nouveau.,I'm not gonna do it again.,False
127,I'm not going to lose you again.,to_be_going_to neg,Je ne vais pas vous faire perdre de nouveau.,I'm not gonna make you lose again.,False
128,I'm not going to warn you again.,to_be_going_to neg,Je ne vais pas vous avertir de nouveau.,I'm not gonna warn you again.,False
129,I am not going to call you later.,to_be_going_to neg,Je ne vais pas vous appeler plus tard.,I'm not gonna call you later.,False
130,I'm not going to wash them now.,to_be_going_to neg,Je ne vais pas les laver maintenant.,I'm not gonna wash them now.,False
131,You're not going to leave me now!,to_be_going_to neg,Vous n'allez pas me quitter maintenant!,You're not leaving me now!,False
132,He wasn't going to worry about it.,to_be_going_to neg,Il n'allait pas s'en soucier.,He wasn't gonna care.,False
134,I wasn't going to worry about it.,to_be_going_to neg,Je n'allais pas m'en soucier.,I wasn't gonna care.,False
135,She wasn't going to lie about it.,to_be_going_to neg,Elle n'allait pas mentir à ce sujet.,She wasn't gonna lie about it.,False
137,She was not going to lose this opportunity.,to_be_going_to neg,Elle n'allait pas perdre cette occasion.,She wasn't going to waste this opportunity.,False
138,She wasn't going to write this story.,to_be_going_to neg,Elle n'allait pas à écrire cette histoire.,She wasn't going to write that story.,False
139,I wasn't going to waste any time.,to_be_going_to neg,Je n'allais pas perdre de temps.,I wasn't gonna waste any time.,False
140,They were not going to sign the treaty!,to_be_going_to neg,Ils n'avaient pas l'intention de signer le traité!,They had no intention of signing the treaty!,False
143,He wasn't going to try anything.,to_be_going_to neg,Il n'allait pas essayer quoi que ce soit.,He wasn't gonna try anything.,False
145,I wasn't going to waste time.,to_be_going_to neg,Je n'allais pas perdre de temps.,I wasn't gonna waste any time.,False
148,I wasn't going to say anything.,to_be_going_to neg,Je n'allais pas dire quoi que ce soit.,I wasn't gonna say anything.,False
150,He was not going to argue with him.,to_be_going_to neg,Il n'allait pas se disputer avec lui.,He wasn't gonna argue with him.,False
151,She wasn't going to think about it.,to_be_going_to neg,Elle n'allait pas y penser.,She wasn't gonna think about it.,False
152,He wasn't going to argue with me.,to_be_going_to neg,Il n'allait pas se disputer avec moi.,He wasn't gonna argue with me.,False
153,I wasn't going to look at him.,to_be_going_to neg,Je n'allais pas le regarder.,I wasn't gonna look at him.,False
154,I wasn't going to think about it.,to_be_going_to neg,Je n'allais pas y penser.,I wasn't gonna think about it.,False
0,He won't be bothering me again!,future_continuous neg,Il ne sera pas me tracasse encore!,It won't bother me again!,False
1,I won't be seeing them again.,future_continuous neg,Je ne vais pas les voir de nouveau.,I'm not going to see them again.,False
2,I won't be chasing you anymore.,future_continuous neg,Je ne vais pas courir après vous plus.,I'm not gonna chase you anymore.,False
3,I won't be seeing you again.,future_continuous neg,Je ne vais pas vous revoir.,I'm not gonna see you again.,False
4,He won't be bothering you again.,future_continuous neg,Il ne sera pas vous déranger à nouveau.,He won't bother you again.,False
5,We won't be troubling you again.,future_continuous neg,Nous n'allons pas être vous préoccupe à nouveau.,We're not gonna be worrying you again.,False
7,I won't be seeing you later.,future_continuous neg,Je ne vais pas vous voir plus tard.,I'm not going to see you later.,False
8,You won't be getting it back.,future_continuous neg,Vous ne sera pas obtenir de revenir en arrière.,You will not get back.,False
9,I won't be seeing him again.,future_continuous neg,Je ne vais pas sortir avec lui de nouveau.,I'm not going out with him again.,False
10,He won't be wearing it again.,future_continuous neg,Il ne sera pas le porter à nouveau.,He won't wear it again.,False
11,You won't be seeing him again.,future_continuous neg,Vous ne serez pas sortir avec lui de nouveau.,You won't be dating him again.,False
12,I won't be kissing you again.,future_continuous neg,Je ne vais pas vous embrasser de nouveau.,I'm not gonna kiss you again.,False
13,I won't be keeping you anymore.,future_continuous neg,Je ne vais pas vous garder plus.,I'm not gonna keep you any longer.,False
14,I won't be asking him again.,future_continuous neg,Je ne vais pas lui demander de nouveau.,I'm not gonna ask her again.,False
15,I won't be using them again.,future_continuous neg,Je ne vais pas l'utiliser de nouveau.,I'm not gonna use it again.,False
16,He won't be hitting you again.,future_continuous neg,Il ne sera pas vous frapper de nouveau.,He won't hit you again.,False
17,I won't be doing it again.,future_continuous neg,Je ne vais pas le faire à nouveau.,I'm not gonna do it again.,False
