,ID,Page ID,Local text,English text,en_fr_yandex_tr,fr_en_yandex_tr,ru_fr_yandex_tr,fr_ru_yandex_tr
198,199,4,У меня есть довольно хорошая идея.,I have a pretty good idea,J'ai une assez bonne idée,I have a pretty good idea,J'ai une assez bonne idée.,У меня есть неплохая идея.
199,200,4,Встречи обычно скучные.,Meetings are usually boring.,Les réunions sont ennuyeuses.,Meetings are boring.,Les réunions sont généralement ennuyeuses.,Встречи обычно скучны.
200,201,4,Та машина слишком дорогая.,That car is too expensive.,Cette voiture est trop cher.,This car is too expensive.,Cette voiture est trop chère.,Эта машина слишком дорогая.
201,202,4,Эта программа очень популярна в нашей стране.,This programme is very popular in our country.,Ce programme est très populaire dans notre pays.,This program is very popular in our country.,Ce programme est très populaire dans notre pays.,Эта программа очень популярна в нашей стране.
202,203,4,"Ей, возможно, нужна помощь.",She probably needs help.,Elle a probablement besoin d'aide.,She probably needs help.,Elle a peut-être besoin d'aide.,"Возможно, ей нужна помощь."
203,204,4,Она часто работает двенадцать часов.,She often works for twelve hours.,Elle travaille souvent douze heures.,She often works twelve hours.,Elle travaille souvent douze heures.,Она часто работает по двенадцать часов.
204,205,4,"Иногда идёт дождь, и часто идёт снег.",It sometimes rains and it often snows.,Il pleut parfois et il neige souvent.,It rains sometimes and it snows often.,"Parfois, il pleut et souvent il neige.","Иногда идет дождь, а часто идет снег."
205,206,4,Здесь часто идёт снег зимой.,It often snows here in winter.,Il neige souvent en hiver.,It often snows in winter.,Il neige souvent en hiver.,Зимой часто идет снег.
206,207,4,Он всегда приходит один ночью.,He always comes alone at night.,"Il vient toujours seul, la nuit.",He always comes alone at night.,Il vient toujours seul la nuit.,Он всегда приходит один по ночам.
207,208,4,Он никогда не говорит плохо о тебе.,He never says anything bad about you.,Il ne dit jamais rien de mal de toi.,He never says anything bad about you.,Il ne parle jamais mal de toi.,Он никогда не говорит о тебе плохо.
208,209,4,"Приятно познакомиться с вами, ребята.",It's nice to meet you guys.,C'est agréable de vous rencontrer les gars.,It's nice to meet you guys.,"Ravi de vous rencontrer, les gars.","Приятно познакомиться, ребята."
209,210,4,"Я боюсь, я очень опоздал.",I'm afraid I'm very late.,Je crains que je suis très en retard.,I'm afraid I'm very late.,J'ai peur d'être très en retard.,"Боюсь, я очень опаздываю."
210,211,4,Он в супермаркете.,He is in the supermarket.,Il est dans le supermarché.,He's in the supermarket.,Il est au supermarché.,Он в супермаркете.
211,212,4,Нам нравится ваша работа.,We like your work.,Nous aimons votre travail.,We love your work.,Nous aimons votre travail.,Мы любим вашу работу.
212,213,4,Мне нравится ваша музыка.,I like your music.,J'aime votre musique.,I like your music.,J'aime votre musique.,Мне нравится ваша музыка.
213,214,4,Я отправляю ей открытки.,I send her postcards.,Je lui envoyer des cartes postales.,I'm sending her postcards.,Je lui envoie des cartes postales.,Я посылаю ему открытки.
214,215,4,Я учитель.,I am a teacher.,Je suis un enseignant.,I'm a teacher.,Je suis professeur.,Я профессор.
215,216,4,Она в спальне.,She is in the bedroom.,Elle est dans la chambre à coucher.,She's in the bedroom.,Elle est dans la chambre.,Она в спальне.
216,217,4,Я благодарю тебя за твою помощь.,I thank you for your help.,Je vous remercie pour votre aide.,Thank you for your help.,Je te remercie pour ton aide.,Я благодарю тебя за помощь.
217,218,4,Я помогаю ей.,I help her.,Je l'aide.,I'm helping him.,Je l'aide à lui.,Я ему помогаю.
218,219,4,Нам нравится твоя школа.,We like your school.,Nous aimons votre école.,We love your school.,On aime bien ton école.,Нам нравится твоя школа.
219,220,4,Мне нравятся ее песни.,I love her songs.,J'aime ses chansons.,I like his songs.,J'aime ses chansons.,Мне нравятся его песни.
220,221,4,Мне нравится твое платье.,I like your dress.,J'aime votre robe.,I like your dress.,J'aime ta robe.,Мне нравится твое платье.
221,222,4,Я наслаждаюсь плаваньем.,I enjoy swimming.,J'ai profiter de la baignade.,I enjoyed swimming.,J'apprécie la natation.,Я наслаждаюсь плаванием.
222,223,4,Мы готовим ужин.,We cook dinner.,Nous préparons le repas.,We prepare the meal.,On prépare le dîner.,Мы готовим ужин.
223,224,4,Я держу его за руку.,I hold his hand.,Je tiens sa main.,I'm holding her hand.,Je tiens sa main.,Я держу его за руку.
224,225,4,Я слушаю музыку.,I listen to music.,J'écoute de la musique.,I listen to music.,J'écoute de la musique.,Я слушаю музыку.
225,226,4,Вы слышите мою песню.,You hear my song.,Vous écouter ma chanson.,You listen to my song.,Vous entendez ma chanson.,Вы слышите мою песню.
226,227,4,Моя сестра забавная.,My sister is funny.,Ma sœur est marrante.,My sister's funny.,Ma soeur est drôle.,Моя сестра забавная.
227,228,4,Это мой друг.,This is my friend.,C'est mon ami.,He's my friend.,C'est mon ami.,Он мой друг.
228,229,4,Это мой любимый салат.,This is my favourite salad.,C'est mon préféré de la salade.,It's my favorite salad.,C'est ma salade préférée.,Это мой любимый салат.
229,230,4,Это очень простое правило.,It's a very simple rule.,C'est une règle très simple.,It's a very simple rule.,C'est une règle très simple.,Это очень простое правило.
230,231,4,Он хороший работник.,He is a good worker.,Il est un bon travailleur.,He's a good worker.,C'est un bon travailleur.,Он хороший работник.
231,232,4,Он всегда хочет помочь.,He always wants to help.,Il veut toujours aider.,He always wants to help.,Il veut toujours aider.,Он всегда хочет помочь.
232,233,4,Это задание очень сложное.,This task is very difficult.,Cette tâche est très difficile.,This is a very difficult task.,Cette tâche est très difficile.,Эта задача очень трудная.
233,234,4,Он работает очень хорошо.,He works very well.,Il fonctionne très bien.,It works very well.,Il fonctionne très bien.,Он отлично работает.
234,235,4,Мне нравятся джинсы.,I like jeans.,J'aime les jeans.,I like jeans.,J'aime les jeans.,Мне нравятся джинсы.
235,236,4,Я помню ее.,I remember her.,Je me souviens d'elle.,I remember her.,Je me souviens de son.,Я ее помню.
236,237,4,Этот фильм не очень интересный.,This film is not very interesting.,Ce film n'est pas très intéressant.,This movie is not very interesting.,Ce film n'est pas très intéressant.,Этот фильм не очень интересен.
237,238,4,Ты удивляешь меня каждый день.,You surprise me everyday.,Tu me surprends tous les jours.,You surprise me every day.,Tu me surprends tous les jours.,Ты удивляешь меня каждый день.
238,239,4,Я действительно люблю животных.,I really love animals.,J'aime vraiment les animaux.,I really like animals.,J'aime vraiment les animaux.,Я очень люблю животных.
239,240,4,Ты разговариваешь с ним.,You talk to him.,Vous lui parlez.,You're talking to him.,Tu lui parles.,Ты с ним разговариваешь.
240,241,4,Я звоню ему.,I call him.,Je l'appelle.,I'll call him.,Je l'appelle à lui.,Я зову его к себе.
241,242,4,Ты любишь его.,You love him.,Votre amour pour lui.,Your love for him.,Tu aimes.,Ты любишь.
242,243,4,Ты любишь меня.,You love me.,Vous m'aimez.,You love me.,Tu m'aimes.,Ты любишь меня.
243,244,4,Вы танцуете очень хорошо.,You dance very well.,Vous dansez très bien.,You dance very well.,Vous dansez très bien.,Вы прекрасно танцуете.
244,245,4,У меня есть старший брат.,I have an elder brother.,J'ai un frère aîné.,I have an older brother.,J'ai un frère aîné.,У меня есть старший брат.
245,246,4,Я знаю об этой ситуации.,I know about this situation.,Je sais à propos de cette situation.,I know about this situation.,Je suis au courant de cette situation.,Я в курсе этой ситуации.
246,247,4,Я сожалею об этом.,I am sorry for that.,Je suis désolé pour ça.,I'm sorry about that.,J'en suis désolé.,Я сожалею об этом.
0,1,6,Когда мы идем?,When do we go?,Quand allons-nous?,When are we going?,Quand allons-nous?,Когда мы едем?
1,2,6,Куда ты бежишь?,Where do you run?,Où courez-vous?,Where are you running to?,Où tu cours?,Куда ты бежишь?
2,3,6,Как я отвечаю?,How do I answer?,Comment dois-je répondre?,How do I answer?,Comment je réponds?,Как я отвечу?
3,4,6,Как ты играешь?,How do you play?,Comment voulez-vous jouer?,How do you want to play?,Comment tu joues?,Как ты играешь?
4,5,6,Как они работают?,How do they work?,Comment fonctionnent-ils?,How do they work?,Comment fonctionnent-ils?,Как они работают?
5,6,6,Где вы поворачиваете?,Where do you turn?,Où vous tournez-vous?,Where do you turn?,Où tournez-vous?,Куда вы поворачиваете?
6,7,6,Как мы растём?,How do we grow?,Comment pouvons-nous développer?,How can we develop?,Comment grandissons-nous?,Как мы растем?
7,8,6,Где они живут?,Where do they live?,Où vivent-ils?,Where do they live?,Où vivent-ils?,Где они живут?
8,9,6,Как ты выбираешь?,How do you choose?,Comment choisissez-vous?,How do you choose?,Comment tu choisis?,Как ты выбираешь?
9,10,6,У тебя есть другая карта?,Do you have another card?,Vous avez une autre carte?,You have another card?,Tu as une autre carte?,У тебя есть еще одна карта?
10,11,6,У вас есть паспорт?,Do you have a passport?,Avez-vous un passeport?,Do you have a passport?,Vous avez un passeport?,У вас есть паспорт?
11,12,6,У вас есть врач?,Do you have a doctor?,Avez-vous un médecin?,Do you have a doctor?,Avez-vous un médecin?,У вас есть врач?
12,13,6,Ты хочешь правду?,Do you want the truth?,Voulez-vous la vérité?,Do you want the truth?,Tu veux la vérité?,Хочешь правду?
13,14,6,Где это заканчивается?,Where does it end?,Où prend-elle fin?,Where does it end?,Où cela se termine-t-il?,Где это заканчивается?
14,15,6,Где он спит?,Where does he sleep?,Où prend-il dormir?,Where does he sleep?,Où dort-il?,Где он спит?
15,16,6,Как она выглядит?,How does she look?,Comment fait-elle chercher?,How's she looking?,Comme elle a l'air?,Как она выглядит?
16,17,6,Как это работает?,How does it work?,Comment ça fonctionne?,How does it work?,Comment cela fonctionne?,Как это работает?
17,18,6,Как это происходит?,How does it happen?,Comment se fait-il?,How come?,Comment ça se passe?,Как это происходит?
18,19,6,Почему идет дождь?,Why does it rain?,Pourquoi pleut-il?,Why is it raining?,Pourquoi il pleut?,Почему идет дождь?
19,20,6,Где она живёт?,Where does she live?,Où est-elle vivre?,Where is she living?,Où elle vit?,Где она живет?
20,21,6,Как это начинается?,How does it begin?,Comment est-il commencer?,How did it start?,Comment ça commence?,Как это начинается?
21,22,6,Где она работает?,Where does she work?,Où est-elle?,Where is she?,Où travaille-t-elle?,Где она работает?
22,23,6,Как он выглядит?,How does he look?,Comment se fait-il regarder?,How did it look?,Comment est-il?,Как он?
23,24,6,Почему это происходит?,Why does it happen?,Pourquoi se produit-il?,Why is it happening?,Pourquoi est-ce?,Почему это?
24,25,6,Откуда она знает?,How does she know?,Comment fait-elle savoir?,How does she know?,Comment sait - elle?,Откуда она знает?
25,26,6,Где он работает?,Where does he work?,Où veut-il travailler?,Where does he work?,Où travaille-t-il?,Где он работает?
26,27,6,У тебя есть деньги?,Do you have the money?,Avez-vous l'argent?,Do you have the money?,Avez-vous l'argent?,У вас есть деньги?
27,28,6,Как это звучит?,How does it sound?,Comment est-il du son?,How's that sound?,Comment ça sonne?,Как это звучит?
28,29,6,Почему она остаётся?,Why does she stay?,Pourquoi a-t-elle rester?,Why did she stay?,Pourquoi reste-t-elle?,Почему она остается?
29,30,6,Почему ты беспокоишься?,Why do you care?,Pourquoi s'en faire?,Why worry?,Pourquoi t'inquiètes-tu?,Почему ты волнуешься?
30,31,6,Когда вы начинаете?,When do you start?,Quand commencez-vous?,When do you start?,Quand commencez-vous?,Когда вы начинаете?
31,32,6,Куда они идут?,Where do they go?,Où vont-ils?,Where are they going?,Où vont-ils?,Куда они едут?
32,33,6,Как они это делают?,How do they do it?,Comment font-ils?,How do they do that?,Comment font-ils?,Как они это делают?
33,34,6,Куда я иду?,Where do I go?,Où dois-je aller?,Where do I go?,Où vais-je?,Куда я иду?
34,35,6,Почему ты плачешь?,Why do you cry?,Pourquoi pleurez-vous?,Why are you crying?,Pourquoi tu pleures?,Почему ты плачешь?
35,36,6,Где вы спите?,Where do you sleep?,Où dormez-vous?,Where do you sleep?,Où dormez-vous?,Где вы спите?
36,37,6,Когда ты начинаешь?,When do you begin?,Quand pensez-vous commencer?,When do you start?,Quand tu commences?,Когда ты начинаешь?
37,38,6,Почему ты врёшь?,Why do you lie?,Pourquoi avez-vous le mensonge?,Why did you lie?,Pourquoi tu Mens?,Зачем ты врешь?
38,39,6,У вас есть телефон?,Do you have a phone?,Avez-vous un téléphone?,Do you have a phone?,Vous avez un téléphone?,У вас есть телефон?
39,40,6,У вас есть кофе?,Do you have any coffee?,Avez-vous le café?,Do you have the coffee?,Vous avez du café?,У вас есть кофе?
40,41,6,У вас есть адрес?,Do you have the address?,Avez-vous l'adresse?,Do you have the address?,Vous avez une adresse?,У вас есть адрес?
41,42,6,У вас есть фотография?,Do you have a photo?,Avez-vous une photo?,Do you have a picture?,Vous avez une photo?,У вас есть фотография?
42,43,6,У тебя есть собака?,Do you have a dog?,Avez-vous un chien?,Do you have a dog?,Tu as un chien?,У тебя есть собака?
43,44,6,У вас есть билет?,Do you have a ticket?,Avez-vous un billet?,Do you have a ticket?,Vous avez un billet?,У вас есть билет?
44,45,6,У тебя есть нож?,Do you have a knife?,Avez-vous un couteau?,Do you have a knife?,Tu as un couteau?,У тебя есть нож?
45,46,6,У тебя есть картина?,Do you have a picture?,Avez-vous une photo?,Do you have a picture?,Tu as un tableau?,У тебя есть картина?
46,47,6,У тебя есть какие-нибудь наличные?,Do you have any cash?,Avez-vous de l'argent?,Do you have any money?,Avez-vous déjà de l'argent?,У вас уже есть деньги?
47,48,6,У нас есть план?,Do we have a plan?,Avons-nous un plan?,Do we have a plan?,On a un plan?,У нас есть план?
48,49,6,У вас есть вода?,Do you have any water?,Avez-vous de l'eau?,Do you have any water?,Vous avez de l'eau?,У вас есть вода?
49,50,6,У тебя есть выбор?,Do you have a choice?,Avez-vous un choix?,Do you have a choice?,Vous avez le choix?,У вас есть выбор?
50,51,6,У тебя есть доллар?,Do you have a dollar?,Avez-vous un dollar?,Do you have a dollar?,Tu as un Dollar?,У тебя есть доллар?
51,52,6,У вас есть карта?,Do you have a map?,Avez-vous une carte?,Do you have a map?,Vous avez une carte?,У вас есть карта?
52,53,6,У тебя есть брат?,Do you have a brother?,Avez-vous un frère?,Do you have a brother?,Tu as un frère?,У тебя есть брат?
53,54,6,У нас проблема?,Do we have a problem?,Avons-nous un problème?,We have a problem?,Nous avons un problème?,У нас проблемы?
54,55,6,У тебя есть какая-нибудь мелочь?,Do you have any change?,Vous avez de la monnaie?,Do you have change?,Vous avez quelque chose à peu de chose?,У вас что-то мало?
55,56,6,У тебя есть корова?,Do you have a cow?,Avez-vous une vache?,Do you have a cow?,Tu as une vache?,У тебя есть корова?
56,57,6,Мне нужен врач?,Do I need a doctor?,Ai-je besoin d'un médecin?,Do I need a doctor?,J'ai besoin d'un médecin?,Мне нужен врач?
57,58,6,Как ты видишь меня?,How do you see me?,Comment voulez-vous me voir?,How do you want to see me?,Comment me vois-tu?,Как ты меня видишь?
58,59,6,Откуда вы знаете это?,How do you know it?,Comment le savez-vous?,How do you know?,Comment savez-vous cela?,Откуда вы это знаете?
59,60,6,Как вы говорите это?,How do you say it?,Comment voulez-vous dire?,How do you mean?,Comme vous le dites?,Как вы говорите?
60,61,6,Как мне остановить это?,How do I stop it?,Comment puis-je l'arrêter?,How can I stop it?,Comment puis-je arrêter cela?,Как я могу остановить это?
61,62,6,Куда ты кладёшь это?,Where do you put it?,Où avez-vous le mettre?,Where did you put it?,Où tu mets ça?,Куда ты это кладешь?
62,63,6,Как вы объясняете это?,How do you explain it?,Comment expliquez-vous cela?,How do you explain that?,Comment expliquez-vous cela?,Как вы это объясните?
63,64,6,Как ты чистишь это?,How do you clean it?,Comment voulez-vous nettoyer?,How do you clean it?,Comment tu nettoies ça?,Как ты это убираешь?
64,65,6,Зачем я делаю это?,Why do I do it?,Pourquoi dois-je le faire?,Why do I have to?,Pourquoi je fais cela?,Зачем я это делаю?
65,66,6,Как нам остановить это?,How do we stop it?,Comment pouvons-nous l'arrêter?,How can we stop it?,Comment pouvons-nous arrêter cela?,Как мы можем остановить это?
66,67,6,Почему ты помогаешь мне?,Why do you help me?,Pourquoi avez-vous m'aider?,Why did you help me?,Pourquoi tu m'aides?,Почему ты мне помогаешь?
67,68,6,Как мне связаться с вами?,How do I contact you?,Comment puis-je vous contacter?,How can I contact you?,Comment puis-je vous contacter?,Как я могу связаться с вами?
68,69,6,Как ты меняешь это?,How do you change it?,Comment voulez-vous changer?,How do you want to change?,Comment tu changes ça?,Как ты это изменишь?
69,70,6,Зачем вам нужно это?,Why do you need it?,Pourquoi avez-vous besoin?,What do you need?,Pourquoi avez-vous besoin de cela?,Зачем вам это нужно?
70,71,6,Как мы изучаем это?,How do we study it?,Comment pouvons-nous étudier?,How can we study?,Comment étudions-nous cela?,Как мы это изучаем?
71,72,6,Как нам остановить его?,How do we stop him?,Comment pouvons-nous arrêter?,How can we stop?,Comme nous l'arrêter?,Как остановить его?
72,73,6,Почему вы ненавидите меня?,Why do you hate me?,Pourquoi détestez-vous de moi?,Why do you hate me?,Pourquoi me détestez-vous?,Почему вы меня ненавидите?
73,74,6,Как вы используете это?,How do you use it?,Comment l'utilisez-vous?,How do you use it?,Comment l'utilisez-vous?,Как вы его используете?
74,75,6,Почему ты ненавидишь это?,Why do you hate it?,Pourquoi détestez-vous il?,Why do you hate him?,Pourquoi tu détestes ça?,Почему ты ненавидишь это?
75,76,6,Почему ты любишь его?,Why do you love him?,Pourquoi l'aimez-vous?,Why do you love him?,Pourquoi tu l'aimes?,За что ты его любишь?
76,77,6,Почему ты спрашиваешь меня?,Why do you ask me?,Pourquoi tu me le Demandes?,Why are you asking me?,Pourquoi tu me demandes?,Почему ты спрашиваешь меня?
77,78,6,Почему ты хочешь этого?,Why do you want it?,Pourquoi voulez-vous?,Why do you want to?,Pourquoi tu veux ça?,Зачем тебе это нужно?
78,79,6,Когда тебе нужно это?,When do you need it?,Quand avez-vous besoin?,When do you need it?,Quand as-tu besoin de ça?,Когда тебе это нужно?
79,80,6,Почему вы делаете это?,Why do you do it?,Pourquoi faites-vous cela?,Why are you doing this?,Pourquoi faites-vous cela?,Зачем вы это делаете?
80,81,6,Что я ношу?,What do I wear?,Que dois-je porter?,What should I wear?,Qu'est-ce que je porte?,Что я ношу?
81,82,6,Что ты изучаешь?,What do you study?,Que pensez-vous de l'étude?,What do you think of the study?,Tu étudies quoi?,Что ты изучаешь?
82,83,6,Что ты планируешь?,What do you plan?,Que prévoyez-vous?,What are you planning?,Que planifiez-vous?,Что вы планируете?
83,84,6,Кого мы любим?,Who do we love?,De qui avons-nous l'amour?,Whose love do we have?,Qui aimons-nous?,Кого мы любим?
84,85,6,Что они думают?,What do they think?,Que pensent-ils?,What do they think?,Que pensent-ils?,Что они думают?
85,86,6,Что они видят?,What do they see?,Que voient-ils?,What do they see?,Que voient-ils?,Что они видят?
86,87,6,Что ты ищешь?,What do you look for?,Que recherchez-vous?,What are you looking for?,Que cherches-tu?,Что ты ищешь?
87,88,6,Что мы думаем?,What do we think?,Que pensons-nous?,What do we think?,Que pensons-nous?,Что мы думаем?
88,89,6,Что ты слушаешь?,What do you listen to?,Qu'écoutez-vous?,What are you listening to?,Que tu écoutes?,Что ты слушаешь?
89,90,6,Что ты помнишь?,What do you remember?,Que vous rappelez-vous?,What do you remember?,Tu te souviens de quoi?,Что ты помнишь?
90,91,6,Что ты советуешь?,What do you advise?,Que conseillez-vous?,What do you suggest?,Que tu conseilles?,Что посоветуешь?
91,92,6,Что у меня есть?,What do I have?,Que dois-je?,What should I do?,J'ai quoi?,Что у меня?
92,93,6,Что им нужно?,What do they need?,De quoi ont-ils besoin?,What do they need?,Qu'ont-ils besoin?,Что им нужно?
93,94,6,Что ты учишь?,What do you learn?,Qu'apprenez-vous?,What do you learn?,Qu'enseigne-tu?,Чему ты учишь?
94,95,6,Кого вы видите?,Who do you see?,Qui voyez-vous?,Who do you see?,Qui voyez-vous?,Кого вы видите?
95,96,6,Что вы едите?,What do you eat?,Que voulez-vous manger?,What would you like to eat?,Ce que vous mangez?,Что вы едите?
96,97,6,Что я чувствую?,What do I feel?,Comment je me sens?,How am I feeling?,Qu'est-ce que je ressens?,Что я чувствую?
97,98,6,Что ты даешь мне?,What do you give me?,Que voulez-vous me donner?,What do you want to give me?,Que tu me donnes?,Что ты мне дашь?
98,99,6,Что вы имеете в виду?,What do you mean?,Que voulez-vous dire?,What do you mean?,Que voulez-vous dire?,Что вы имеете в виду?
99,100,6,Что ты хочешь?,What do you want?,Que voulez-vous?,What do you want?,Que veux-tu?,Что ты хочешь?
100,101,6,Что вы продаёте?,What do you sell?,Que voulez-vous vendre?,What do you want to sell?,Ce que vous vendez?,Что вы продаете?
101,102,6,Что мы видим?,What do we see?,Que voyons-nous?,What do we see?,Que voyons-nous?,Что мы видим?
102,103,6,Что вы получаете?,What do you get?,Qu'obtenez-vous?,What do you get?,Que recevez-vous?,Что вы получаете?
103,104,6,Что я вижу?,What do I see?,Que vois-je?,What do I see?,Ce que je vois?,Что я вижу?
104,105,6,Что вы понимаете?,What do you understand?,Qu'entendez-vous?,What do you hear?,Que comprenez-vous?,Что вы понимаете?
105,106,6,Что они говорят?,What do they say?,Que disent-ils?,What are they saying?,Ce qu'ils disent?,Что они говорят?
106,107,6,Что я выигрываю?,What do I win?,Que dois-je gagner?,What should I win?,Que je gagne?,Что я выиграю?
107,108,6,Что ты предлагаешь?,What do you offer?,Que proposez vous?,What do you propose?,Ce que tu proposes?,Что ты предлагаешь?
108,109,6,Что у нас есть?,What do we have?,Qu'avons-nous?,What have we got?,Qu'avons-nous?,Что у нас есть?
109,110,6,Что мы получаем?,What do we get?,Qu'obtenons-nous?,What do we get?,Ce que nous obtenons?,Что мы получаем?
110,111,6,Что ты чувствуешь?,What do you feel?,Que ressentez-vous?,How do you feel?,Que tu ressens?,Что ты чувствуешь?
111,112,6,Чем ты занимаешься?,What do you do?,Que faites-vous?,What do you do?,De quoi t'occupes-tu ?,Чем ты занимаешься ?
112,113,6,Что мы знаем?,What do we know?,Que savons-nous?,What do we know?,Que savons-nous?,Что мы знаем?
113,114,6,Что ты знаешь?,What do you know?,Que savez-vous?,What do you know?,Que sais-tu?,Что ты знаешь?
114,115,6,Что вы говорите?,What do you say?,Qu'en dites-vous?,What do you think?,Que dites-vous?,Что вы говорите?
115,116,6,Что вы пьёте?,What do you drink?,Que voulez-vous boire?,What would you like to drink?,Que buvez-vous?,Что вы пьете?
116,117,6,Что вы думаете?,What do you think?,Qu'en pensez-vous?,What do you think?,Que pensez-vous?,Что вы думаете?
117,118,6,Чего ты боишься?,What are you afraid of?,De quoi avez-vous peur?,What are you afraid of?,De quoi as-tu peur?,Чего ты боишься?
118,119,6,Что ты имеешь в виду?,What do you mean?,Que voulez-vous dire?,What do you mean?,Qu’est ce que tu veux dire ?,Что ты имеешь в виду ?
119,120,6,Зачем мы пытаемся?,Why do we try?,Pourquoi essayons-nous?,Why are we trying?,Pourquoi essayons-nous?,Почему мы пытаемся?
120,121,6,Как ты отвечаешь?,How do you answer?,Comment pouvez-vous répondre?,How can you answer?,Comment réponds-tu?,Как ты отвечаешь?
121,122,6,Как мне принять решение?,How do I decide?,Comment puis-je décider?,How do I decide?,Comment puis-je prendre une décision?,Как я могу принять решение?
122,123,6,Где мы стоим?,Where do we stand?,Où en sommes-nous?,Where are we?,Où nous en sommes?,Где мы находимся?
123,124,6,Когда я ухожу?,When do I leave?,Quand dois-je partir?,When do I leave?,Quand je pars?,Когда я уйду?
124,125,6,Как я помогаю тебе?,How do I help you?,Comment puis-je vous aider?,How can I help you?,Comment je t'aide?,Чем я могу тебе помочь?
125,126,6,Почему вы остаётесь?,Why do you stay?,Pourquoi restez-vous?,Why are you staying?,Pourquoi restez-vous?,Почему вы остаетесь?
126,127,6,Почему вы останавливаетесь?,Why do you stop?,Pourquoi avez-vous l'arrêter?,Why did you stop him?,Pourquoi vous arrêtez-vous?,Почему вы остановились?
127,128,6,Когда мы едим?,When do we eat?,Quand allons-nous manger?,When are we going to eat?,Quand mangeons-nous?,Когда мы едим?
128,129,6,Когда мне идти?,When do I go?,Quand dois-je aller?,When should I go?,Quand dois-je partir?,Когда я должен уехать?
129,130,6,Как мы продолжаем?,How do we continue?,Comment pouvons-nous continuer?,How can we go on?,Comment continuons-nous?,Как мы продолжаем?
130,131,6,Где деньги?,Where's the money?,Où est l'argent?,Where's the money?,Où est l'argent?,Где деньги?
131,132,6,Где менеджер?,Where is the manager?,Où est le gestionnaire?,Where's the manager?,Où est le Manager?,Где менеджер?
132,133,6,Где ключ?,Where's the key?,Où est la clé?,Where's the key?,Où est la clé?,Где ключ?
133,134,6,Где кухня?,Where's the kitchen?,Où est la cuisine?,Where's the kitchen?,Où est la cuisine?,Где кухня?
134,135,6,Где находится душ?,Where's the shower?,Où est la douche?,Where's the shower?,Où est la douche?,Где душ?
135,136,6,Как обед?,How is the lunch?,Comment est le déjeuner?,How's lunch?,Comment va le déjeuner?,Как обед?
136,137,6,Где находится больница?,Where's the hospital?,Où est l'hôpital?,Where's the hospital?,Où est l'hôpital?,Где больница?
137,138,6,Как ребёнок?,How is the baby?,Comment est le bébé?,How's the baby?,Comme un enfant?,Как ребенок?
138,139,6,Где калькулятор?,Where is the calculator?,Où est la calculatrice?,Where's the calculator?,Où est la calculatrice?,Где калькулятор?
139,140,6,Где зонт?,Where is the umbrella?,Où est le parapluie?,Where's the umbrella?,Où est le parapluie?,Где зонтик?
140,141,6,Где ручка?,Where is the pen?,Où est la plume?,Where's the feather?,Où est le stylo?,Где ручка?
141,142,6,Где телефон?,Where is the phone?,Où est le téléphone?,Where's the phone?,Où est le téléphone?,Где телефон?
142,143,6,Почему он прячется?,Why does he hide?,Pourquoi fait-il le cacher?,Why is he hiding it?,Pourquoi il se cache?,Почему он прячется?
143,144,6,Где он занимается спортом?,Where does he do sport?,Où veut-il faire du sport?,Where does he want to play sports?,Où fait-il du sport?,Где он занимается спортом?
144,145,6,Когда он приезжает?,When does he arrive?,Quand est-il arrivé?,When did he get here?,Quand vient-il?,Когда он придет?
145,146,6,Где чайник?,Where's the kettle?,Où est la bouilloire?,Where's the kettle?,Où est la bouilloire?,Где чайник?
146,147,6,Где это начинается?,Where does it begin?,Par où commencer?,Where do I start?,Où ça commence?,Где это начинается?
147,148,6,Где он живёт?,Where does he live?,Où vit-il?,Where does he live?,Où vit-il?,Где он живет?
148,149,6,Когда он приходит?,When does he come?,Quand vient-il?,When is he coming?,Quand vient-il?,Когда он придет?
149,150,6,Когда она спит?,When does she sleep?,Quand est-elle dormir?,When did she sleep?,Quand dort-elle?,Когда она спит?
150,151,6,Почему она поет?,Why does she sing?,Pourquoi fait-elle chanter?,Why is she blackmailing?,Pourquoi chante-t-elle?,Почему она поет?
151,152,6,Почему она учится?,Why does she study?,Pourquoi fait-elle de l'étude?,Why does she study?,Pourquoi étudie-t-elle?,Почему она учится?
152,153,6,Когда она улыбается?,When does she smile?,Quand fait-elle sourire?,When does she smile?,Quand sourit-elle?,Когда она улыбается?
153,154,6,Вы обещаете мне?,Do you promise me?,Promettez-vous de moi?,Do you promise me?,Vous me le promettez?,Обещаете?
154,155,6,Как тебе нравится твоя комната?,How do you like your room?,Comment aimez-vous votre chambre?,How do you like your room?,Comment aimes-tu ta chambre?,Как тебе нравится твоя комната?
155,156,6,Как ты произносишь по буквам своё имя?,How do you spell your name?,Comment voulez-vous épeler votre nom?,How do you spell your name?,Comment épelez-vous votre nom?,Как пишется ваше имя?
156,157,6,Как тебе нравится мое платье?,How do you like my dress?,Comment aimez-vous ma robe?,How do you like my dress?,Comment aimes-tu ma robe?,Как тебе нравится мое платье?
157,158,6,Как ты учишь новые слова?,How do you learn new words?,Comment pouvez-vous apprendre de nouveaux mots?,How can you learn new words?,Comment apprends-tu de nouveaux mots?,Как ты узнаешь новые слова?
158,159,6,Куда мне положить моё пальто?,Where do I put my coat?,Où dois-je mettre mon manteau?,Where should I put my coat?,Où dois-je mettre mon manteau?,Куда мне надеть пальто?
