,word,local_word,examples,local_examples,examples_and_definitions
240,break up,démembrer,empty_cell,empty_cell,dismember | up-~-break up | disband | 
241,break up,casser,empty_cell,empty_cell,break | break | crack | break down | shatter | quash | smash | break off | snap | 
242,break up,se séparer,empty_cell,empty_cell,separate | part | secede | up-~-break up | split up | part ways | away-~-break away | 
243,break up,éclater,empty_cell,empty_cell,break out | burst | erupt | explode | fragment | break out | up-~-flare up | up-~-break up | break | 
244,break up,fractionner,empty_cell,empty_cell,split | divide | fractionate | split up | split | up-~-break up | divide | fragment | 
245,break away,se séparer,empty_cell,empty_cell,separate | part | secede | up-~-break up | split up | part ways | away-~-break away | 
246,break away,se détacher,empty_cell,empty_cell,detach | out-~-stand out | break off | away-~-break away | come off | dislodge | cut out | 
247,break away,faire sécession,empty_cell,empty_cell,empty_cell
248,break apart,se rompre,empty_cell,empty_cell,rupture | break off | apart-~-break apart | 
249,break down,ventiler,broken down by gender|broken down by territorial units|broken down by contract|broken down by month|,ventilées par sexe | ventilées par unités territoriales | ventilée par contrat | ventilée par mois | ,broken down by gender|broken down by territorial units|broken down by contract|broken down by month|ventilate | disaggregate | fan | vent | ventilate | prorate | itemize | 
250,break down,répartir,break down by server|break down by node|break down by client|break down by device|,réparti par serveur | réparties par noeud | réparti par client | réparties par périphérique | ,break down by server|break down by node|break down by client|break down by device|distribute | divide | allocate | spread | house | apportion | assign | stripe | scatter | 
251,break down,décomposer,empty_cell,empty_cell,decompose | decay | disperse | break out | decompiling | 
252,break down,se décomposer,empty_cell,empty_cell,decompose | degrade | decay | apart-~-fall apart | 
253,break down,dégrader,to break down porphyrin|,dégrader les porphyrines | ,to break down porphyrin|degrade | damage | downgrade | degrade | debase | biodegrade | deteriorate | 
254,break down,se dégrader,to break down in the environment|,se dégrader dans l'environnement | ,to break down in the environment|degrade | deteriorate | worsen | deteriorate | decay | worsen | biodegrade | 
255,break down,briser,empty_cell,empty_cell,break | break | shatter | up-~-break up | smash | break up | break out | sever | 
256,break down,abattre,empty_cell,empty_cell,slaughter | shoot | kill | cull | cut down | fell | down-~-bring down | down-~-shoot down | 
257,break down,s'effondrer,empty_cell,empty_cell,collapse | collapse | crumble | plummet | fall | crash | 
258,break off,rompre,empty_cell,empty_cell,break | break | sever | rupture | breach | up-~-break up | upset | disrupt | 
259,break off,se détacher,empty_cell,empty_cell,detach | out-~-stand out | away-~-break away | come off | dislodge | cut out | 
260,break off,casser,empty_cell,empty_cell,break | break | crack | break down | shatter | quash | smash | snap | 
261,break off,s'interrompre,empty_cell,empty_cell,pause | abort | halt | fall offline | terminate | ground to a halt | 
262,break off,se casser,empty_cell,empty_cell,break | shatter | fracture | rack | 
263,break out,éclater,empty_cell,empty_cell,burst | erupt | explode | fragment | up-~-flare up | up-~-break up | break | 
264,break out,se déclarer,empty_cell,empty_cell,empty_cell
265,break out,briser,empty_cell,empty_cell,break | break | shatter | up-~-break up | break down | smash | break up | sever | 
266,break out,se déclencher,empty_cell,empty_cell,trigger | fire | unlatch | trigger | go off | 
267,break out,sabler,to break out the champagne|,sabler le champagne | ,to break out the champagne|sand | sprinkle | grit | scatter | sandblast | 
268,break out,se libérer,empty_cell,empty_cell,free | unwire | liberate | unleash | off-~-cast off | 
269,break out,décomposer,empty_cell,empty_cell,break down | decompose | decay | disperse | break down | decompiling | 
270,break ranks,briser les rangs,empty_cell,empty_cell,empty_cell
271,mother,mère,single mother|young mother|surrogate mother|adoptive mothers|,mère célibataire | jeune mère | mère porteuse | mère adoptive | ,single mother|young mother|surrogate mother|adoptive mothers|parent | mom | dam | mother-in-law | stepmother | 
272,mother,maman,dear mother|mother with my first child|,chère maman | maman avec mon premier enfant | ,dear mother|mother with my first child|mom | mum | mama | mommy | momma | mamma | 
273,mother,materner,empty_cell,empty_cell,empty_cell
274,mother,couver,empty_cell,empty_cell,hatch | smolder | brew | incubate | fester | smolder | brood | brood | hatch | 
275,mother,dorloter,empty_cell,empty_cell,pamper | pamper | cosset | coddle | mollycoddle | 
276,mother,chouchouter,empty_cell,empty_cell,pamper | spoil | mollycoddle | 
277,start,début,good start|start of the study|start of treatment|start of the year|,bon début | début de l'étude | début du traitement | début de l'année | ,good start|start of the study|start of treatment|start of the year|beginning | commencement | onset | initiation | early stage | debut | inception | 
278,start,départ,fresh start|start in life|best possible start|false start|,nouveau départ | départ dans la vie | meilleur départ possible | faux départ | ,fresh start|start in life|best possible start|false start|departure | severance | beginning | check-out | baseline | separation | first place | 
279,start,démarrage,quick start|manual start|application starts|cold start|,démarrage rapide | démarrage manuel | démarrage de l'application | démarrage à froid | ,quick start|manual start|application starts|cold start|boot | start-up | seed | splash | launch | boot time | starter | booting | 
280,start,prise,empty_cell,empty_cell,catch | outlet | intake | jack | gain | socket | plug | assumption | 
281,start,lancement,program start|impending start|formal start|late start|,lancement du programme | lancement imminent | lancement officiel | lancement tardif | ,program start|impending start|formal start|late start|launch | introduction | initiation | landing | commencement | start-up | 
282,start,start,empty_cell,empty_cell,empty_cell
283,start,point de départ,bad start|,mauvais point de départ | ,bad start|starting point | base | departure point | departure | point of departure | starting-point | 
284,start,ouverture,start of the debate|start of negotiations|start of accession talks|rapid start|,ouverture du débat | ouverture des négociations | ouverture des négociations d'adhésion | ouverture rapide | ,start of the debate|start of negotiations|start of accession talks|rapid start|opening | openness | initiation | opening-up | commencement | aperture | overture | 
285,start,commencement,Start of International Preliminary Examination|start of the project|,commencement de l'examen préliminaire international | commencement du projet | ,Start of International Preliminary Examination|start of the project|beginning | commencement | inception | 
286,start,commencer,to start the day|to start treatment|to start with a letter|to start somewhere|,commencer la journée | commencer le traitement | commencer par une lettre | commencer quelque part | ,to start the day|to start treatment|to start with a letter|to start somewhere|begin | commence | begin | initiate | 
287,start,démarrer,to start a snapshot|to start the installation|to start the snapshot|to start the service|,démarrer un snapshot | démarrer l'installation | démarrer le snapshot | démarrer le service | ,to start a snapshot|to start the installation|to start the snapshot|to start the service|boot | begin | launch | up-~-start up | initiate | 
288,start,lancer,to start the download|to start a business|to start the test|to start the wizard|,lancer le téléchargement | lancer une entreprise | lancer le test | lancer l'assistant | ,to start the download|to start a business|to start the test|to start the wizard|launch | initiate | run | begin | introduce | launch | issue | throw | 
289,start,débuter,to start the treatment|to start early|to start a career|to start the debate|,débuter le traitement | débuter plus tôt | débuter une carrière | débuter le débat | ,to start the treatment|to start early|to start a career|to start the debate|begin | commence | begin | initiate | 
290,start,entamer,to start a debate|to start its work|to start negotiations|to start the negotiations|,entamer un débat | entamer ses travaux | entamer des négociations | entamer les négociations | ,to start a debate|to start its work|to start negotiations|to start the negotiations|begin | initiate | commence | launch | begin | initiate | 
291,start,partir,to start from the principle|to start the stopwatch|to start from a premise|to start at sea level|,partir du principe | partir le chronomètre | partir d'un postulat | partir au niveau de la mer | ,to start from the principle|to start the stopwatch|to start from a premise|to start at sea level|leave | go | depart | leave | go | part | travel | 
292,start,se mettre,to start work|,se mettre au travail | ,to start work|begin | get down | 
293,start,entreprendre,to start on a study|,entreprendre une étude | ,to start on a study|undertake | initiate | begin | carry out | undertake | take | conduct | engage | 
294,start,amorcer,to start the process|to start the digestion program|to start the lashing|to start dialogue|,amorcer le processus | amorcer le programme de digestion | amorcer l'attache | amorcer un dialogue | ,to start the process|to start the digestion program|to start the lashing|to start dialogue|initiate | begin | boot | commence | initiate | prime | boot | launch | 
295,start up,démarrer,empty_cell,empty_cell,start | boot | start | begin | launch | up-~-start up | initiate | 
296,start up,redémarrer l'ascenseur,empty_cell,empty_cell,empty_cell
297,start off,commencer,empty_cell,empty_cell,start | begin | commence | start | begin | initiate | 
298,start off,repartir,empty_cell,empty_cell,go back | start again | walk away | go home | go away | drive off | go again | set out again | 
299,tip,conseil,health tips|safety tips|tool tips|troubleshooting tips|,conseil de santé | Conseil de sécurité | conseils sur les outils | conseil de dépannage | ,health tips|safety tips|tool tips|troubleshooting tips|council | board | advice | commission | 
300,tip,astuce,search tip|general search tips|Resolution tip|html tip|,astuce de recherche | astuces de recherche générales | Astuces concernant la résolution | astuces html | ,search tip|general search tips|Resolution tip|html tip|trick | hint | 
301,tip,pointe,tip of the iceberg|southern tip|northern tip|tip of the sternum|,pointe de l'iceberg | pointe sud | pointe nord | pointe du sternum | ,tip of the iceberg|southern tip|northern tip|tip of the sternum|edge | peak | breakthrough | rush | spike | cutting edge | leading edge | surge | 
302,tip,extrémité,tip of the needle|tip of the syringe|distal tip|western tip|,extrémité de l'aiguille | extrémité de la seringue | extrémité distale | extrémité ouest | ,tip of the needle|tip of the syringe|distal tip|western tip|end | extremity | edge | far end | endpoint | 
303,tip,truc,tip for consumer|easy tips|practical tip|,trucs à l'intention des consommateurs | truc facile | truc pratique | ,tip for consumer|easy tips|practical tip|thing | stuff | trick | gizmo | hint | 
304,tip,pourboire,tip of the same amount|tips plus salary|small tip|,pourboire équivalent | pourboires plus salaires | petit pourboire | ,tip of the same amount|tips plus salary|small tip|gratuity | baksheesh | tipper | 
305,tip,bout,elongated tip|tip of my tongue|tip of the penis|north-western tip|,bout allongé | bout de la langue | bout du pénis | bout nord-ouest | ,elongated tip|tip of my tongue|tip of the penis|north-western tip|end | piece | bit | toe | grip | 
306,tip,embout,disposable tip|dropper tip|pipette tip|dropper tip of the bottle|,embout jetable | embout compte-gouttes | embout de pipette | embout compte-gouttes du flacon | ,disposable tip|dropper tip|pipette tip|dropper tip of the bottle|mouthpiece | nozzle | end cap | ferrule | narrow part | prong | end fitting | 
307,tip,basculer,empty_cell,empty_cell,switch | toggle | fail over | tilt | shift | migrate | switch | 
308,tip,pencher,to tip the scales|,pencher la balance | ,to tip the scales|tilt | lean | incline | err | cock | sway | bend | perch | 
309,tip,incliner,empty_cell,empty_cell,tilt | slant | incline | bow | angle | cant | tilt | tempt | 
310,tip,se renverser,empty_cell,empty_cell,overturn | spill | 
311,tip,culminer,empty_cell,empty_cell,culminate | peak | peak | culminate | tower | top out | climax | top | 
312,tip,déverser,empty_cell,empty_cell,dump | discharge | spill | pour | dump | out-~-pour out | discharge | spout | pour | 
313,apologize,s'excuser,to apologise to the Commissioner|to apologise to the interpreters|to apologize to the Presidency|to apologize to the member|,s'excuser auprès du commissaire | s'excuser auprès des interprètes | s'excuser auprès de la présidence | s'excuser auprès du député | ,to apologise to the Commissioner|to apologise to the interpreters|to apologize to the Presidency|to apologize to the member|excuse | 
314,apologize,excuser,empty_cell,empty_cell,excuse | forgive | condone | pardon | 
315,apologize,présenter des excuses,empty_cell,empty_cell,empty_cell
316,apologize,présenter mes excuses,empty_cell,empty_cell,empty_cell
317,apologize,présenter ses excuses,empty_cell,empty_cell,empty_cell
318,apologize,demander pardon,empty_cell,empty_cell,empty_cell
319,come,venir,to come from a country|to come to the conclusion|to come to the party|to come to the hotel|,venir d'un pays | venir à la conclusion | venir à la fête | venir à l'hôtel | ,to come from a country|to come to the conclusion|to come to the party|to come to the hotel|turn | visit | come here | 
320,come,arriver,to come to that conclusion|to come to a conclusion|to come to a decision|to come to an agreement|,arriver à cette conclusion | arriver à une conclusion | arriver à une décision | arriver à un accord | ,to come to that conclusion|to come to a conclusion|to come to a decision|to come to an agreement|arrive | happen | get | reach | achieve | arrive | manage | occur | 
321,come,comprendre,empty_cell,empty_cell,include | understand | understand | feature | contain | comprise | offer | consist of | realize | 
322,come,disposer,to come with a balcony|to come with a TV|,disposer d'un balcon | disposer d'une télévision | ,to come with a balcony|to come with a TV|have | feature | offer | provide | prepare | open | dispose of | equip | 
323,come,entrer,to come in|to come to Parliament|,entrer en scène | entrer au parlement | ,to come in|to come to Parliament|enter | come into | go | type | enter | get | fall | 
324,come,parvenir,to come to a final conclusion|to come to this conclusion|to come to any conclusion|to come to the following conclusions|,parvenir à une conclusion finale | parvenir à cette conclusion | parvenir à une conclusion | alors parvenir à la conclusion suivante | ,to come to a final conclusion|to come to this conclusion|to come to any conclusion|to come to the following conclusions|achieve | manage | reach | succeed | send | arrive | achieve | get | 
325,come,être,empty_cell,empty_cell,be | have | become | get | remain | occur | 
326,come,se présenter,to come as yellow film-coated tablets|to come to the committee|,se présenter sous forme de comprimés pelliculés jaunes | se présenter devant le comité | ,to come as yellow film-coated tablets|to come to the committee|arise | appear | occur | stand | attend | up-~-show up | arrive | come up | 
327,come,passer,to now come to the vote|to come through my own country|,passer maintenant au vote | passer par mon pays | ,to now come to the vote|to come through my own country|spend | pass | go | move | proceed | increase | switch | change | get | 
328,come out,sortir,empty_cell,empty_cell,go out | leave | get out | release | emerge | out-~-come out | come out of | exit | leave | 
329,come out,ressortir,empty_cell,empty_cell,emerge | resort | highlight | out-~-stand out | come out of | reveal | out-~-come out | 
330,come out,se prononcer,empty_cell,empty_cell,vote | decide | rule | comment | pronounce | out-~-speak out | vote | out-~-come out | 
331,come out,débuter au sommet,empty_cell,empty_cell,empty_cell
332,come together,se réunir,empty_cell,empty_cell,meet | gather | get together | convene | meet | together-~-come together | 
333,come together,se rassembler,empty_cell,empty_cell,gather | assemble | congregate | get together | together-~-come together | gather together | congregate | rally | join together | 
334,come together,s'unir,empty_cell,empty_cell,unite | together-~-come together | unite | get together | join together | band together | join forces | coalesce | 
335,come together,prendre place,empty_cell,empty_cell,empty_cell
336,come together,se rejoindre,empty_cell,empty_cell,together-~-come together | get together | converge | 
337,come together,se regrouper,empty_cell,empty_cell,regroup | cluster | band together | together-~-come together | congregate | congregate | join together | get together | band together | 
338,come together,converger,empty_cell,empty_cell,converge | together-~-come together | converge | 
339,come together,se rapprocher,empty_cell,empty_cell,approach | approximate | draw near | near | get close | approach | out-~-reach out | converge | together-~-come together | 
340,come together,se conjuguer,empty_cell,empty_cell,combine | conjugate | together-~-come together | 
341,come down,s'annoncer,empty_cell,empty_cell,loom | come up | loom | herald | up-~-shape up | down-~-come down | 
342,come down,s'écrouler,empty_cell,empty_cell,collapse | crumble | collapse | crumble | down-~-fall down | tumble | apart-~-fall apart | down-~-come down | unravel | 
343,come across,rencontrer,to come across several circles|,rencontrer plusieurs cercles | ,to come across several circles|meet | encounter | face | experience | meet | find | 
344,come across,croiser,empty_cell,empty_cell,cross | encounter | intersect | cross | fold | 
345,come back,revenir,to come back online|to come back with a few shillings|to come back in the winter|to always come back into the program|,revenir en ligne | revenir avec quelques shillings | revenir en hiver | toujours revenir au programme | ,to come back online|to come back with a few shillings|to come back in the winter|to always come back into the program|return | go back | come back | go | return | revert | get back | amount | 
346,come back,rentrer,to come back home|,rentrer à la maison | ,to come back home|return | go back | return | fit | go home | return home | get back | come back | 
347,come back,réapparaître,empty_cell,empty_cell,reappear | recur | reemerge | reoccur | appear again | resurface | reappear | reemerge | 
348,come into,entrer,to come into contact|to come into the European Union|to come into force accordingly|to come into play|,entrer en contact | entrer dans l'Union européenne | en conséquence entrer en vigueur | entrer en scène | ,to come into contact|to come into the European Union|to come into force accordingly|to come into play|enter | go | type | enter | get | come | fall | 
349,come into,naître,empty_cell,empty_cell,bear | arise | incur | emerge | give rise to | originate | found | bear | 
350,come up,arriver,to come up with a strategy|,arriver à une stratégie | ,to come up with a strategy|arrive | happen | come | get | reach | achieve | arrive | manage | occur | 
351,come up,monter,to come up from my lungs|,monter de mes poumons | ,to come up from my lungs|mount | rise | climb | go up | assemble | ride | fit | climb | ascend | 
352,come up,aboutir,empty_cell,empty_cell,lead | result | achieve | succeed | up-~-end up | arrive | end | achieve | culminate | 
353,come up,se présenter,empty_cell,empty_cell,come | arise | appear | occur | stand | attend | up-~-show up | arrive | 
354,come up,avancer,to come up with proposals|to come up with a joint resolution|,avancer des propositions | avancer une résolution commune | ,to come up with proposals|to come up with a joint resolution|advance | move | put forward | move forward | progress | make progress | argue | proceed | bring forward | 
355,come up,inventer,empty_cell,empty_cell,invent | invent | make up | coin | devise | fabricate | contrive | 
356,come up,s'annoncer,empty_cell,empty_cell,loom | loom | herald | up-~-shape up | down-~-come down | 
357,come up,trouver,to come up with a solution|to come up with the answer|,trouver une solution | trouver la réponse | ,to come up with a solution|to come up with the answer|find | find | think | identify | reach | locate | get | 
358,come up,formuler,empty_cell,empty_cell,make | formulate | express | make | word | formulate | put forward | draw up | articulate | 
359,curriculum,programme,Research Curricula|core curriculum|national curriculum|common curriculum|,programme de recherche | programme de base | programme national | programme commun | ,Research Curricula|core curriculum|national curriculum|common curriculum|programme | agenda | subroutine | 
360,curriculum,curriculum,community-oriented curriculum|french national curriculum|cross~cultural curriculum|school curricula|,curriculum pédago-communautaire | Curriculum national français | cross-cultural curriculum | curriculum scolaire | ,community-oriented curriculum|french national curriculum|cross~cultural curriculum|school curricula|resume | 
361,curriculum,enseignement,nursing curricula|,enseignement des sciences infirmières | ,nursing curricula|education | teaching | lesson | instruction | 
362,curriculum,cursus,set curriculum|personalized curriculum|,cursus figé | cursus personnalisé | ,set curriculum|personalized curriculum|syllabus | degree course | learning path | curriculum framework | 
363,expertise,expertise,technical expertise|scientific expertise|canadian expertise|medical expertise|,expertise technique | expertise scientifique | expertise canadienne | expertise médicale | ,technical expertise|scientific expertise|canadian expertise|medical expertise|
364,expertise,compétence,global expertise|professional expertise|functional expertise|existing expertise|,compétence internationale | compétence professionnelle | compétence fonctionnelle | compétences existantes | ,global expertise|professional expertise|functional expertise|existing expertise|competence | skill | jurisdiction | power | responsibility | qualification | proficiency | ability | 
365,expertise,savoir-faire,unique expertise|european expertise|real expertise|SAN expertise|,savoir-faire unique | savoir-faire européen | réel savoir-faire | savoir-faire en matière de SAN | ,unique expertise|european expertise|real expertise|SAN expertise|know-how | skill | savoir-faire | craftsmanship | 
366,expertise,expérience,practical expertise|,expérience pratique | ,practical expertise|experience | experiment | 
367,expertise,expert,external expertise|expertise inside the nhpd|independent technical expertise|clinical expertise|,expert externe | experts de la DPSN | expert technique indépendant | expert clinique | ,external expertise|expertise inside the nhpd|independent technical expertise|clinical expertise|expert | specialist | 
368,freeze,gel,wage freeze|settlement freeze|temporary freeze|salary freeze|,gel des salaires | gel des colonies | gel temporaire | gel salarial | ,wage freeze|settlement freeze|temporary freeze|salary freeze|gel | frost | 
369,freeze,blocage,system freeze|pay freeze|tuition freeze|,blocage du système | blocage des salaires | blocage des frais de scolarité | ,system freeze|pay freeze|tuition freeze|blockage | lock-up | block | deadlock | blockade | hang | crash | lock | 
370,freeze,congélation,empty_cell,empty_cell,freezer | freezing temperatures | freezing | 
371,freeze,congeler,to freeze the insulin inhaler|,congeler l'inhalateur d'insuline | ,to freeze the insulin inhaler|
372,freeze,geler,to freeze the essential budgetary increases|to freeze the article|,geler les augmentations budgétaires indispensables | geler l'article | ,to freeze the essential budgetary increases|to freeze the article|set aside | suspend | freeze over | freeze up | clot | jelly | thicken | 
373,freeze,bloquer,empty_cell,empty_cell,block | block | stick | jam | hang | lock | obstruct | strand | 
374,freeze,figer,to freeze the shifting phantasmagoria|,figer la fantasmagorie fluctuante | ,to freeze the shifting phantasmagoria|congeal | stick | 
375,freeze,se figer,empty_cell,empty_cell,congeal | 
376,freeze,glacer,empty_cell,empty_cell,ice | glaze | chill | frost | ice | powder | candy | 
377,freeze,surgeler,empty_cell,empty_cell,deep-freeze  freeze | quick-freeze | deep-freeze | quick-freeze  freeze | deepfreeze | 
378,freeze,se bloquer,empty_cell,empty_cell,hang | up-~-lock up | lock up | stick | crash | jam | stall | lock | 
379,freeze,givrer,empty_cell,empty_cell,frost | 
380,issue,question,important issue|environmental issue|key issue|political issue|,question importante | question environnementale | question clé | question politique | ,important issue|environmental issue|key issue|political issue|question | matter | subject | 
381,issue,problème,health issue|security issue|technical issue|performance issue|,problème de santé | problème de sécurité | problème technique | problème de performance | ,health issue|security issue|technical issue|performance issue|problem | concern | matter | 
382,issue,enjeu,ethical issue|emerging issues|major issue|priority issues|,enjeu éthique | nouvel enjeu | enjeu majeur | enjeu prioritaire | ,ethical issue|emerging issues|major issue|priority issues|challenge | stake | 
383,issue,sujet,very important issue|sensitive issue|second issue|first issue|,sujet très important | sujet sensible | deuxième sujet | premier sujet | ,very important issue|sensitive issue|second issue|first issue|subject | topic | matter | individual | 
384,issue,point,following issues|third issue|fundamental issue|specific issue|,point suivant | troisième point | point fondamental | point précis | ,following issues|third issue|fundamental issue|specific issue|point | item | paragraph | matter | mark | thing | 
385,issue,dossier,difficult issues|complex issue|economic issue|main issue|,dossier difficile | dossier complexe | dossier économique | principal dossier | ,difficult issues|complex issue|economic issue|main issue|folder | record | file | dossier | case | matter | package | 
386,issue,thème,central issue|research issues|general issues|crucial issue|,thème central | thème de recherche | thème général | thème crucial | ,central issue|research issues|general issues|crucial issue|theme | topic | subject | matter | 
387,issue,numéro,special issue|latest issue|next issue|recent issue|,numéro spécial | dernier numéro | prochain numéro | numéro récent | ,special issue|latest issue|next issue|recent issue|number | item | 
388,issue,délivrer,issued pursuant to this decision|to issue to the applicant|to issue the authorization|issued by the minister|,délivrée conformément à la présente décision | délivrer à la demanderesse | délivrer l'autorisation | délivré par le ministre | ,issued pursuant to this decision|to issue to the applicant|to issue the authorization|issued by the minister|grant | deliver | award | 
389,issue,émettre,to issue shares|to issue a warning|issue to this computer|issue by director-general|,émettre des actions | émettre des avertissements | émis pour cet ordinateur | émis par le directeur général | ,to issue shares|to issue a warning|issue to this computer|issue by director-general|emit | deliver | express | send out | release | 
390,issue,publier,issued by the ctc|to issue a statement|to issue guidelines|to issue a communication|,publié par la CCT | publier une déclaration | publier des lignes directrices | publier une communication | ,issued by the ctc|to issue a statement|to issue guidelines|to issue a communication|publish | release | post | publish | produce | 
391,issue,rendre,to issue an order|to issue a decision|to issue decisions|to issue the order|,rendre une ordonnance | rendre une décision | rendre nos décisions | rendre l'ordonnance | ,to issue an order|to issue a decision|to issue decisions|to issue the order|make | render | make | give | return | bring | pay | deliver | 
392,issue,diffuser,issued by different stakeholders|issued prior to the visit|issued by the snprm|,diffusés par des intervenants différents | diffusé avant la visite | diffusées par le snprm | ,issued by different stakeholders|issued prior to the visit|issued by the snprm|disseminate | distribute | broadcast | release | circulate | disseminate | spread | air | 
393,issue,lancer,to issue a challenge|to issue standing invitations|,lancer un défi | lancer des invitations permanentes | ,to issue a challenge|to issue standing invitations|launch | start | initiate | run | begin | introduce | launch | throw | 
394,issue,remettre,issued to customers|issued to companies|to issue the final report|,remis aux clients | remise à l'entreprise | remettre le rapport final | ,issued to customers|issued to companies|to issue the final report|give | put | call | submit | deliver | return | present | hand over | hand | 
395,issue,exécuter,to issue the following admsnap command|to issue the umount command|,exécuter la commande admsnap suivante | exécuter la commande umount | ,to issue the following admsnap command|to issue the umount command|run | perform | execute | carry out | run | implement | complete | perform | deliver | 
396,peremptory,péremptoire,empty_cell,empty_cell,conclusive | authoritative | 
397,peremptory,ordonné,empty_cell,empty_cell,orderly | tidy | well-arranged | 
398,peremptory,tranchant,empty_cell,empty_cell,sharp | trenchant | cutting | razor-sharp | incisive | barbed | stinging | 
399,parent,parent,adoptive parent|biological parents|Canadian parents|single parent|,parent adoptif | parent biologique | parent canadien | parent seul | ,adoptive parent|biological parents|Canadian parents|single parent|relative | stepparent | 
400,parent,mère,US parent|elderly parents|lone parents|,mère américaine | mère âgée | mère seule | ,US parent|elderly parents|lone parents|mother | mom | dam | mother-in-law | stepmother | 
401,parent,origine,empty_cell,empty_cell,origin | source | cause | background | root | 
402,parent,parenté,empty_cell,empty_cell,relative | kinship | relatedness | kin | parentage | kindred | 
403,member,membre,Member of the Commission|committee member|family member|team member|,membre de la commission | membre du comité | membre de la famille | membre de l'équipe | ,Member of the Commission|committee member|family member|team member|membership | 
404,member,député,honourable Member|Liberal members|members of this house|members of the european parliament|,honorable député | député libéral | député de cette Assemblée | député européen | ,honourable Member|Liberal members|members of this house|members of the european parliament|member of parliament | MP | colleague | honourable Member | 
405,member,collègue,fellow members|socialist members|italian members|former member|,collègue député | collègue socialiste | collègue italien | ancien collègue | ,fellow members|socialist members|italian members|former member|colleague | fellow members | friend | colleague Mr | 
406,member,députée,member for Windsor-St|member for Notre-Dame-de-Grâce-Lachine|Bloc members|NDP members|,députée de Windsor-St | députée de Notre-Dame-de-Grâce-Lachine | députée du Bloc | députée néo-démocrate | ,member for Windsor-St|member for Notre-Dame-de-Grâce-Lachine|Bloc members|NDP members|MP | 
407,member,parlementaire,elected members|members of the house|private members'|swedish members|,parlementaire élu | parlementaires de cette Chambre | simple parlementaire | parlementaires suédois | ,elected members|members of the house|private members'|swedish members|parliamentarian | member of parliament | MP | 
408,member,militaire,non-commissioned member|deceased member|canadian forces members|eligible members|,militaire du rang | militaire décédé | militaire canadien | militaire admissible | ,non-commissioned member|deceased member|canadian forces members|eligible members|military | soldier | military personnel | troop | personnel | military members | CF members | armed forces | 
409,band,bibande,empty_cell,empty_cell,dual-band | 
410,band,bande,indian band|hopper bands|frequency band|small hopper bands|,bande indienne | bandes larvaires | bande de fréquences | petites bandes larvaires | ,indian band|hopper bands|frequency band|small hopper bands|tape | strip | gang | stripe | flowerbed | 
411,band,tranche,rate band|band a|price band|Band F|,tranche tarifaire | tranche A | tranche de prix | tranche F | ,rate band|band a|price band|Band F|slice | tranche | instalment | bracket | edge | increment | wafer | 
412,band,orchestre,mariachi band|mediocre brass band|,orchestre de mariachis | orchestre médiocre | ,mariachi band|mediocre brass band|orchestra | conductor | 
413,band,baguer,empty_cell,empty_cell,collar | 
414,order,ordre,public order|alphabetical order|legal order|Date Order|,ordre public | ordre alphabétique | ordre juridique | ordre de date | ,public order|alphabetical order|legal order|Date Order|agenda | sequence | college | suborder | 
415,order,commande,small orders|firm orders|original order|online order|,petite commande | commande ferme | commande d'origine | commande en ligne | ,small orders|firm orders|original order|online order|command | control | 
416,order,ordonnance,order for reference|court order|interim order|administrative order|,ordonnance de renvoi | ordonnance de la cour | ordonnance provisoire | ordonnance administrative | ,order for reference|court order|interim order|administrative order|prescription | ordinance | 
417,order,décret,order in council|Remission Order|Exclusion Approval Order|ministerial order|,décret du conseil | Décret de remise | décret d'exemption | décret ministériel | ,order in council|Remission Order|Exclusion Approval Order|ministerial order|decree | annexed Order | order in council | Order-in-Council | 
418,order,règlement,standing orders of the house|,Règlement de la Chambre | ,standing orders of the house|regulation | rule | settlement | rules of procedure | resolution | 
419,order,procédure,order concerning the vote|,procédure concernant le vote | ,order concerning the vote|procedure | proceeding | process | 
420,order,arrêté,order of the agency|final order|Delegation Order|surrender order|,arrêté de l'Office | arrêté final | arrêté de délégation | arrêté de remise | ,order of the agency|final order|Delegation Order|surrender order|decree | annexed Order | by-law | 
421,order,bon,working order|purchase order|installation work order|installation order|,bon de travail | bon de commande | bon de travail d'installation | bon d'installation | ,working order|purchase order|installation work order|installation order|voucher | purchase | bond | coupon | ticket | good | bon | 
422,order,commander,to order online|ordered with the system|to order the following rtu license|to order a la carte|,commander en ligne | commandée avec le système | commander les licences RTU suivantes | commander à la carte | ,to order online|ordered with the system|to order the following rtu license|to order a la carte|commission | command | control | 
423,order,ordonner,ordered by the commission|to order a remedy|to order the deputy head|to order the disclosure of information|,ordonné par la Commission | ordonner une réparation | ordonner à l'administrateur général | ordonner la communication des renseignements | ,ordered by the commission|to order a remedy|to order the deputy head|to order the disclosure of information|direct | ordain | instruct | command | 
424,order,condamner,to order the Community|to order the defendant|,condamner la Communauté | condamner la partie défenderesse | ,to order the Community|to order the defendant|condemn | sentence | convict | condemn | doom | 
425,order,passer commande,empty_cell,empty_cell,empty_cell
426,order,trier,empty_cell,empty_cell,sort | sort | screen | out-~-sort out | segregate | grade | 
427,hot,chaud,so hot|extremely hot|still hot|really hot|,si chaud | extrêmement chaud | encore chaud | vraiment chaud | ,so hot|extremely hot|still hot|really hot|warm | cooked | 
428,hot,hot,empty_cell,empty_cell,empty_cell
429,hot,à chaud,empty_cell,empty_cell,non-disruptive | hot-swappable | 
430,hot,logiciel,empty_cell,empty_cell,software | soft | software-based | of software | 
